StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;1,9;0,03;0,04;75,35;28,58;46,76;
31-01-2019 05:00:00;31-01-2019 06:00:00;1,9;0,03;0,04;74,2;28,51;45,69;
31-01-2019 04:00:00;31-01-2019 05:00:00;2;0,03;0,04;73,44;28,5;44,94;
31-01-2019 03:00:00;31-01-2019 04:00:00;2,07;0,03;0,03;72,35;28,6;43,75;
31-01-2019 02:00:00;31-01-2019 03:00:00;1,03;0,03;0,03;71,74;28,71;43,03;
31-01-2019 01:00:00;31-01-2019 02:00:00;1,9;0,03;0,04;70,62;28,87;41,75;
31-01-2019 00:00:00;31-01-2019 01:00:00;1,08;0,03;0,03;70,08;28,24;41,84;
30-01-2019 23:00:00;31-01-2019 00:00:00;0,97;0,02;0,02;68,31;32,89;35,43;
30-01-2019 22:00:00;30-01-2019 23:00:00;2,95;0,01;0,06;69,31;33,11;36,21;
30-01-2019 21:00:00;30-01-2019 22:00:00;3,14;0,05;0,06;71,86;30,54;41,32;
30-01-2019 20:00:00;30-01-2019 21:00:00;2,86;0,05;0,1;72,15;33,27;38,88;
30-01-2019 19:00:00;30-01-2019 20:00:00;4;0,05;0,06;72,8;33,66;39,14;
30-01-2019 18:00:00;30-01-2019 19:00:00;1;0,03;0,05;73,32;30,3;43,02;
30-01-2019 17:00:00;30-01-2019 18:00:00;5,1;0,01;0,12;73,2;57,58;15,62;
30-01-2019 16:00:00;30-01-2019 17:00:00;2;0,03;0,04;73,58;30,73;42,84;
30-01-2019 15:00:00;30-01-2019 16:00:00;2,1;0,03;0,04;74,33;27,58;46,74;
30-01-2019 14:00:00;30-01-2019 15:00:00;2,93;0,03;0,05;74,33;27,58;46,74;
30-01-2019 13:00:00;30-01-2019 14:00:00;1,92;0,03;0,04;73,4;27,96;45,44;
30-01-2019 12:00:00;30-01-2019 13:00:00;2,05;0,02;0,04;75,07;28,54;46,53;
30-01-2019 11:00:00;30-01-2019 12:00:00;1,9;0,02;0,03;75,07;28,54;46,53;
30-01-2019 10:00:00;30-01-2019 11:00:00;1,33;0,02;0,04;77,43;31,92;45,51;
30-01-2019 09:00:00;30-01-2019 10:00:00;5;0,01;0,13;78,13;54,18;23,95;
30-01-2019 08:00:00;30-01-2019 09:00:00;5,33;0,03;0,14;76,64;27,9;48,74;
30-01-2019 07:00:00;30-01-2019 08:00:00;5,33;0,03;0,14;76,64;27,9;48,74;
30-01-2019 06:00:00;30-01-2019 07:00:00;1,21;0,03;0,03;76,64;27,9;48,74;
30-01-2019 05:00:00;30-01-2019 06:00:00;1,81;0,03;0,03;76,21;27,83;48,38;
30-01-2019 04:00:00;30-01-2019 05:00:00;2,02;0,03;0,03;74,61;27,82;46,79;
30-01-2019 03:00:00;30-01-2019 04:00:00;1,48;0,03;0,03;74,61;27,82;46,79;
30-01-2019 02:00:00;30-01-2019 03:00:00;1,53;0,02;0,04;73,48;28,19;45,29;
30-01-2019 01:00:00;30-01-2019 02:00:00;1,04;0,02;0,02;73,48;28,19;45,29;
30-01-2019 00:00:00;30-01-2019 01:00:00;1,44;0,02;0,03;70,85;27,2;43,65;
29-01-2019 23:00:00;30-01-2019 00:00:00;1,54;0,02;0,03;72,19;29,35;42,84;
29-01-2019 22:00:00;29-01-2019 23:00:00;2,12;0,02;0,03;72,19;29,35;42,84;
29-01-2019 21:00:00;29-01-2019 22:00:00;2,9;0,03;0,07;73,38;31,28;42,1;
29-01-2019 20:00:00;29-01-2019 21:00:00;1,9;0,13;0,05;78,43;29,56;48,87;
29-01-2019 19:00:00;29-01-2019 20:00:00;5,07;0,02;0,1;77,38;47,74;29,64;
29-01-2019 18:00:00;29-01-2019 19:00:00;2;0,02;0,04;77,44;26,17;51,27;
29-01-2019 17:00:00;29-01-2019 18:00:00;1,94;0,03;0,03;76,7;27,55;49,15;
29-01-2019 16:00:00;29-01-2019 17:00:00;2;0,04;0,04;77,84;26,53;51,31;
29-01-2019 15:00:00;29-01-2019 16:00:00;2;0,03;0,03;76,4;27,68;48,72;
29-01-2019 14:00:00;29-01-2019 15:00:00;2;0,03;0,02;76,29;28,71;47,58;
29-01-2019 13:00:00;29-01-2019 14:00:00;1,13;0,02;0,03;75,55;28;47,55;
29-01-2019 12:00:00;29-01-2019 13:00:00;1,91;0,03;0,04;79,62;27,35;52,28;
29-01-2019 11:00:00;29-01-2019 12:00:00;2,01;0,02;0,03;77,9;28,81;49,09;
29-01-2019 10:00:00;29-01-2019 11:00:00;0,95;0,03;0,05;77,09;38,31;38,78;
29-01-2019 09:00:00;29-01-2019 10:00:00;0;0,27;0;83,03;72,88;10,15;
29-01-2019 08:00:00;29-01-2019 09:00:00;12,45;0,06;0,42;80,92;49,22;31,71;
29-01-2019 07:00:00;29-01-2019 08:00:00;4,55;0,06;0,08;80,92;49,22;31,71;
29-01-2019 06:00:00;29-01-2019 07:00:00;2,15;0,03;0,04;78,26;29,2;49,06;
29-01-2019 05:00:00;29-01-2019 06:00:00;1,85;0,03;0,04;77,86;29,15;48,71;
29-01-2019 04:00:00;29-01-2019 05:00:00;2;0,03;0,04;76,66;28,92;47,74;
29-01-2019 03:00:00;29-01-2019 04:00:00;2;0,03;0,03;77,29;28,75;48,54;
29-01-2019 02:00:00;29-01-2019 03:00:00;0;0,03;0;75,57;29,17;46,4;
29-01-2019 01:00:00;29-01-2019 02:00:00;4;0,03;0,07;74,94;30,02;44,92;
29-01-2019 00:00:00;29-01-2019 01:00:00;1,13;0,03;0,03;74,94;30,02;44,92;
28-01-2019 23:00:00;29-01-2019 00:00:00;1,93;0,03;0,03;73,47;29,73;43,74;
28-01-2019 22:00:00;28-01-2019 23:00:00;0,94;0,03;0,03;73,3;30,94;42,36;
28-01-2019 21:00:00;28-01-2019 22:00:00;0;0,02;0;73,59;34,18;39,4;
28-01-2019 20:00:00;28-01-2019 21:00:00;7,03;0,04;0,14;73,69;29,44;44,25;
28-01-2019 19:00:00;28-01-2019 20:00:00;1,97;0,04;0,08;73,69;29,44;44,25;
28-01-2019 18:00:00;28-01-2019 19:00:00;4;0,27;0,06;77,85;30,55;47,3;
28-01-2019 17:00:00;28-01-2019 18:00:00;0;0,03;0;73,6;34,23;39,37;
28-01-2019 16:00:00;28-01-2019 17:00:00;6;0,03;0,14;74,47;28,57;45,9;
28-01-2019 15:00:00;28-01-2019 16:00:00;1,29;0,03;0,03;74,47;28,57;45,9;
28-01-2019 14:00:00;28-01-2019 15:00:00;1,92;0,03;0,04;76,99;30,17;46,83;
28-01-2019 13:00:00;28-01-2019 14:00:00;2,04;0,03;0,03;77,26;29,34;47,92;
28-01-2019 12:00:00;28-01-2019 13:00:00;2,07;0,03;0,04;77,21;31,3;45,91;
28-01-2019 11:00:00;28-01-2019 12:00:00;2,31;0,02;0,04;76,72;31,91;44,81;
28-01-2019 10:00:00;28-01-2019 11:00:00;7,48;0;0,16;75,18;20,51;54,66;
28-01-2019 09:00:00;28-01-2019 10:00:00;1,27;0,02;0,04;74,54;32,45;42,08;
28-01-2019 08:00:00;28-01-2019 09:00:00;5,63;0,02;0,14;74,85;57,35;17,5;
28-01-2019 07:00:00;28-01-2019 08:00:00;2,23;0,04;0,04;78,7;29,25;49,45;
28-01-2019 06:00:00;28-01-2019 07:00:00;2,77;0,04;0,04;78,65;29,25;49,4;
28-01-2019 05:00:00;28-01-2019 06:00:00;2;0,04;0,05;76;29,14;46,86;
28-01-2019 04:00:00;28-01-2019 05:00:00;2,1;0,04;0,03;75,11;29,06;46,05;
28-01-2019 03:00:00;28-01-2019 04:00:00;2;0,04;0,05;74,3;29,1;45,19;
28-01-2019 02:00:00;28-01-2019 03:00:00;1,9;0,04;0,04;73,64;28,99;44,65;
28-01-2019 01:00:00;28-01-2019 02:00:00;0;0,04;0;73,06;28,69;44,37;
28-01-2019 00:00:00;28-01-2019 01:00:00;4;0,03;0,08;69,97;29,49;40,48;
27-01-2019 23:00:00;28-01-2019 00:00:00;0;0,03;0;69,97;29,49;40,48;
27-01-2019 22:00:00;27-01-2019 23:00:00;5,1;0,04;0,1;70,14;28,31;41,83;
27-01-2019 21:00:00;27-01-2019 22:00:00;1,95;0,04;0,04;70,14;28,31;41,83;
27-01-2019 20:00:00;27-01-2019 21:00:00;3,1;0,18;0,06;73,88;28,55;45,33;
27-01-2019 19:00:00;27-01-2019 20:00:00;3;0,05;0,05;72,57;27,84;44,72;
27-01-2019 18:00:00;27-01-2019 19:00:00;1,85;0,04;0,05;72,27;29,45;42,82;
27-01-2019 17:00:00;27-01-2019 18:00:00;4;0,03;0,11;71,85;41,17;30,68;
27-01-2019 16:00:00;27-01-2019 17:00:00;3;0,04;0,06;72,32;28,46;43,86;
27-01-2019 15:00:00;27-01-2019 16:00:00;0;0,06;0;73,85;27,78;46,07;
27-01-2019 14:00:00;27-01-2019 15:00:00;5,29;0,05;0,1;75,26;28,26;47;
27-01-2019 13:00:00;27-01-2019 14:00:00;2,89;0,05;0,06;75,26;28,26;47;
27-01-2019 12:00:00;27-01-2019 13:00:00;1,82;0,03;0,05;73,32;30,01;43,31;
27-01-2019 11:00:00;27-01-2019 12:00:00;3,76;0,13;0,07;78,5;34,6;43,9;
27-01-2019 10:00:00;27-01-2019 11:00:00;7,56;0,03;0,2;77,92;20,47;57,45;
27-01-2019 09:00:00;27-01-2019 10:00:00;4,75;0,02;0,14;74,33;45,11;29,21;
27-01-2019 08:00:00;27-01-2019 09:00:00;3,95;0,02;0,1;73,4;42,46;30,94;
27-01-2019 07:00:00;27-01-2019 08:00:00;1,24;0,03;0,03;72,35;27,64;44,71;
27-01-2019 06:00:00;27-01-2019 07:00:00;1,94;0,03;0,04;71,35;27,63;43,72;
27-01-2019 05:00:00;27-01-2019 06:00:00;1,93;0,03;0,04;70,07;27,71;42,36;
27-01-2019 04:00:00;27-01-2019 05:00:00;1,88;0,03;0,04;69,87;27,7;42,17;
27-01-2019 03:00:00;27-01-2019 04:00:00;0;0,03;0;69,33;27,7;41,63;
27-01-2019 02:00:00;27-01-2019 03:00:00;2;0,03;0,04;69,94;27,85;42,09;
27-01-2019 01:00:00;27-01-2019 02:00:00;2;0,03;0,04;69,94;27,85;42,09;
27-01-2019 00:00:00;27-01-2019 01:00:00;2;0,03;0,04;69,94;27,85;42,09;
26-01-2019 23:00:00;27-01-2019 00:00:00;2;0,03;0,04;69,94;27,85;42,09;
26-01-2019 22:00:00;26-01-2019 23:00:00;2,06;0,03;0,04;69,94;27,85;42,09;
26-01-2019 21:00:00;26-01-2019 22:00:00;1,94;0,04;0,04;70,93;28,07;42,86;
26-01-2019 20:00:00;26-01-2019 21:00:00;2;0,03;0,04;71,7;27,02;44,68;
26-01-2019 19:00:00;26-01-2019 20:00:00;2;0,04;0,04;72,92;27,93;44,99;
26-01-2019 18:00:00;26-01-2019 19:00:00;3,25;0,04;0,08;73,84;33,99;39,85;
26-01-2019 17:00:00;26-01-2019 18:00:00;3,78;0,03;0,08;72,62;37,81;34,82;
26-01-2019 16:00:00;26-01-2019 17:00:00;2,24;0,04;0,04;73,45;27,09;46,36;
26-01-2019 15:00:00;26-01-2019 16:00:00;2,73;0,04;0,05;75,16;26,86;48,3;
26-01-2019 14:00:00;26-01-2019 15:00:00;3;0,06;0,05;76,21;26,51;49,7;
26-01-2019 13:00:00;26-01-2019 14:00:00;0;0,03;0;75,57;29,19;46,38;
26-01-2019 12:00:00;26-01-2019 13:00:00;5;0,02;0,1;75,7;27,29;48,41;
26-01-2019 11:00:00;26-01-2019 12:00:00;6,11;0,02;0,12;75,7;27,29;48,41;
26-01-2019 10:00:00;26-01-2019 11:00:00;2,13;0,12;0,07;77,79;34,41;43,38;
26-01-2019 09:00:00;26-01-2019 10:00:00;7,02;0,42;0,26;81,29;66,31;14,98;
26-01-2019 08:00:00;26-01-2019 09:00:00;3,81;0,19;0,07;79,55;36,04;43,51;
26-01-2019 07:00:00;26-01-2019 08:00:00;1,94;0,03;0,04;74,67;27,41;47,26;
26-01-2019 06:00:00;26-01-2019 07:00:00;0;0,03;0;73,86;27,53;46,33;
26-01-2019 05:00:00;26-01-2019 06:00:00;4;0,03;0,07;73,14;27,49;45,65;
26-01-2019 04:00:00;26-01-2019 05:00:00;1;0,03;0,04;73,14;27,49;45,65;
26-01-2019 03:00:00;26-01-2019 04:00:00;0;0,03;0;72,24;27,53;44,71;
26-01-2019 02:00:00;26-01-2019 03:00:00;2,25;0,03;0,04;73,56;28,02;45,54;
26-01-2019 01:00:00;26-01-2019 02:00:00;2,25;0,03;0,04;73,56;28,02;45,54;
26-01-2019 00:00:00;26-01-2019 01:00:00;2,25;0,03;0,04;73,56;28,02;45,54;
25-01-2019 23:00:00;26-01-2019 00:00:00;2,25;0,03;0,04;73,56;28,02;45,54;
25-01-2019 22:00:00;25-01-2019 23:00:00;1,02;0,03;0,03;73,56;28,02;45,54;
25-01-2019 21:00:00;25-01-2019 22:00:00;1,97;0,03;0,03;73,84;28,67;45,17;
25-01-2019 20:00:00;25-01-2019 21:00:00;2,19;0,02;0,04;75,26;26,53;48,73;
25-01-2019 19:00:00;25-01-2019 20:00:00;3,87;0,16;0,08;76,52;28,41;48,11;
25-01-2019 18:00:00;25-01-2019 19:00:00;3,93;0,03;0,08;78,62;27,19;51,43;
25-01-2019 17:00:00;25-01-2019 18:00:00;3,14;0,11;0,05;79,37;23,15;56,22;
25-01-2019 16:00:00;25-01-2019 17:00:00;2,86;0,03;0,04;78,37;26,68;51,7;
25-01-2019 15:00:00;25-01-2019 16:00:00;2;0,04;0,04;78,25;25,24;53,01;
25-01-2019 14:00:00;25-01-2019 15:00:00;2;0,03;0,04;78,4;27,35;51,05;
25-01-2019 13:00:00;25-01-2019 14:00:00;3;0,03;0,04;78,23;27,54;50,69;
25-01-2019 12:00:00;25-01-2019 13:00:00;3;0,02;0,09;77,25;31,51;45,74;
25-01-2019 11:00:00;25-01-2019 12:00:00;5;0,41;0,1;82,78;45,88;36,9;
25-01-2019 10:00:00;25-01-2019 11:00:00;3;0,04;0,04;78,49;26,78;51,71;
25-01-2019 09:00:00;25-01-2019 10:00:00;0;0,03;0;78,11;25,04;53,07;
25-01-2019 08:00:00;25-01-2019 09:00:00;5,5;0,03;0,15;78,07;27,77;50,3;
25-01-2019 07:00:00;25-01-2019 08:00:00;5,5;0,03;0,15;78,07;27,77;50,3;
25-01-2019 06:00:00;25-01-2019 07:00:00;2,1;0,03;0,04;78,07;27,77;50,3;
25-01-2019 05:00:00;25-01-2019 06:00:00;2,03;0,03;0,03;78,06;27,49;50,57;
25-01-2019 04:00:00;25-01-2019 05:00:00;1,91;0,03;0,04;77,38;27,39;49,99;
25-01-2019 03:00:00;25-01-2019 04:00:00;1,97;0,04;0,03;77,26;27,54;49,72;
25-01-2019 02:00:00;25-01-2019 03:00:00;2;0,03;0,03;76,16;27,58;48,58;
25-01-2019 01:00:00;25-01-2019 02:00:00;0;0,03;0;75,08;27,74;47,33;
25-01-2019 00:00:00;25-01-2019 01:00:00;3,03;0,02;0,06;73,05;28,44;44,61;
24-01-2019 23:00:00;25-01-2019 00:00:00;1;0,02;0,03;73,05;28,44;44,61;
24-01-2019 22:00:00;24-01-2019 23:00:00;1,03;0,02;0,02;72,14;30,25;41,9;
24-01-2019 21:00:00;24-01-2019 22:00:00;1,94;0,01;0,04;72,19;30,12;42,07;
24-01-2019 20:00:00;24-01-2019 21:00:00;5,19;0,06;0,14;80,28;33,85;46,43;
24-01-2019 19:00:00;24-01-2019 20:00:00;3,81;0,04;0,06;76,34;27,05;49,29;
