StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
07-02-2019 10:00:00;07-02-2019 11:00:00;0,909090909090082;0;0,01;62,8854545454545;25,3790909090909;37,5063636363636;
07-02-2019 09:00:00;07-02-2019 10:00:00;0;0;0,02;61,24;25,07;36,17;
07-02-2019 08:00:00;07-02-2019 09:00:00;2,05136384572143;0,02;0,05;68,64;23,49;45,15;
07-02-2019 07:00:00;07-02-2019 08:00:00;3,08183074324916;0,06;0,07;71,1178248409273;34,2532241005783;36,864600740349;
07-02-2019 06:00:00;07-02-2019 07:00:00;3,99583766909382;0,12;0,1;72,7873152965661;46,4466701352758;26,3406451612903;
07-02-2019 05:00:00;07-02-2019 06:00:00;3,8709677419356;0,07;0,09;72,4067741935484;32,2467741935484;40,16;
07-02-2019 04:00:00;07-02-2019 05:00:00;5,01639344262367;0,08;0,09;72,01;31,85;40,16;
07-02-2019 03:00:00;07-02-2019 04:00:00;0,983606557376334;0,04;0,02;72,0586885245902;35,403606557377;36,6550819672131;
07-02-2019 02:00:00;07-02-2019 03:00:00;0,666667333332953;0,01;0,01;69,58;24,82;44,76;
07-02-2019 01:00:00;07-02-2019 02:00:00;0,666666333334433;0,01;0,01;65,538064516129;23,8993548387097;41,6387096774194;
07-02-2019 00:00:00;07-02-2019 01:00:00;0,666666333332614;0,01;0,01;65,538064516129;23,8993548387097;41,6387096774194;
06-02-2019 23:00:00;07-02-2019 00:00:00;0;0,01;0,02;65,538064516129;23,8993548387097;41,6387096774194;
06-02-2019 22:00:00;06-02-2019 23:00:00;1,01639344262367;0;0,02;61,58;24,48;37,1;
06-02-2019 21:00:00;06-02-2019 22:00:00;0,983606557376334;0,02;0,01;66,5231147540984;24,2631147540984;42,26;
06-02-2019 20:00:00;06-02-2019 21:00:00;1;0;0,02;61,31;25,65;35,66;
06-02-2019 19:00:00;06-02-2019 20:00:00;0;0,01;0,02;65,81;26,08;39,73;
06-02-2019 18:00:00;06-02-2019 19:00:00;1;0;0,01;65,41;25;40,41;
06-02-2019 17:00:00;06-02-2019 18:00:00;1;0;0,02;59,74;25,62;34,12;
06-02-2019 16:00:00;06-02-2019 17:00:00;0;0,03;0,01;70,1336065573771;24,2416393442623;45,8919672131148;
06-02-2019 15:00:00;06-02-2019 16:00:00;1;0;0,02;67,35;24,34;43,01;
06-02-2019 14:00:00;06-02-2019 15:00:00;1;0,01;0,01;67,58;23,68;43,9;
06-02-2019 13:00:00;06-02-2019 14:00:00;0,050013688934996;0,04;0,01;71,47;22,99;48,48;
06-02-2019 12:00:00;06-02-2019 13:00:00;3,00082133605611;0;0,05;67,2380353261196;24,5004726331777;42,737562692942;
06-02-2019 11:00:00;06-02-2019 12:00:00;3,05010149946247;0,05;0,07;75,5201548932976;33,5288306238379;41,9913242694597;
06-02-2019 10:00:00;06-02-2019 11:00:00;3,02809573361083;0,05;0,06;75,529448491155;33,4586680541103;42,0707804370447;
06-02-2019 09:00:00;06-02-2019 10:00:00;3,8709677419356;0,07;0,08;75,8129032258065;31,9187096774194;43,8941935483871;
06-02-2019 08:00:00;06-02-2019 09:00:00;4;0,06;0,09;74,7;33,08;41,62;
06-02-2019 07:00:00;06-02-2019 08:00:00;5,03278688524551;0,09;0,1;74,74;33,37;41,37;
06-02-2019 06:00:00;06-02-2019 07:00:00;1,96721311475449;0,04;0,04;72,6281967213115;32,992131147541;39,6360655737705;
06-02-2019 05:00:00;06-02-2019 06:00:00;1,125;0,03;0,03;70,72;31,32;39,4;
