StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;4,84;0,09;0,12;73,55;32,95;40,6;
31-01-2019 05:00:00;31-01-2019 06:00:00;4,24;0,09;0,12;72,98;33,02;39,96;
31-01-2019 04:00:00;31-01-2019 05:00:00;4,76;0,11;0,11;72,01;35,77;36,24;
31-01-2019 03:00:00;31-01-2019 04:00:00;4,41;0,1;0,11;71,29;33,76;37,53;
31-01-2019 02:00:00;31-01-2019 03:00:00;4,11;0,12;0,11;70,89;35,88;35,01;
31-01-2019 01:00:00;31-01-2019 02:00:00;4,48;0,1;0,12;70,28;33,71;36,57;
31-01-2019 00:00:00;31-01-2019 01:00:00;4,46;0,13;0,12;69,89;42,24;27,65;
30-01-2019 23:00:00;31-01-2019 00:00:00;5,54;0,11;0,13;69,14;37,07;32,06;
30-01-2019 22:00:00;30-01-2019 23:00:00;3,24;0,1;0,11;68,37;33,76;34,61;
30-01-2019 21:00:00;30-01-2019 22:00:00;4,76;0,12;0,12;69,14;41,26;27,88;
30-01-2019 20:00:00;30-01-2019 21:00:00;3,24;0,09;0,1;69,17;33,14;36,03;
30-01-2019 19:00:00;30-01-2019 20:00:00;4,76;0,12;0,1;69,9;35,64;34,26;
30-01-2019 18:00:00;30-01-2019 19:00:00;4;0,12;0,11;70,33;42,26;28,07;
30-01-2019 17:00:00;30-01-2019 18:00:00;4;0,08;0,11;71,05;31,92;39,13;
30-01-2019 16:00:00;30-01-2019 17:00:00;4,07;0,09;0,1;73,49;33,24;40,25;
30-01-2019 15:00:00;30-01-2019 16:00:00;4,43;0,11;0,1;72,11;41,3;30,8;
30-01-2019 14:00:00;30-01-2019 15:00:00;4,5;0,09;0,1;71,28;34,31;36,97;
30-01-2019 13:00:00;30-01-2019 14:00:00;4;0,09;0,1;71,28;34,31;36,97;
30-01-2019 12:00:00;30-01-2019 13:00:00;4;0,09;0,1;74,87;39,01;35,86;
30-01-2019 11:00:00;30-01-2019 12:00:00;4;0,09;0,1;74,87;39,01;35,86;
30-01-2019 10:00:00;30-01-2019 11:00:00;4,42;0,1;0,11;74,88;35,71;39,17;
30-01-2019 09:00:00;30-01-2019 10:00:00;5;0,11;0,11;75,35;32,8;42,55;
30-01-2019 08:00:00;30-01-2019 09:00:00;5,42;0,09;0,12;74,79;33,2;41,59;
