StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;6;0,15;0,15;73,29;38,55;34,74;
31-01-2019 05:00:00;31-01-2019 06:00:00;5,46;0,14;0,14;73,5;38,93;34,57;
31-01-2019 04:00:00;31-01-2019 05:00:00;5,54;0,14;0,16;72,42;38,93;33,49;
31-01-2019 03:00:00;31-01-2019 04:00:00;6;0,14;0,15;71,87;39,22;32,65;
31-01-2019 02:00:00;31-01-2019 03:00:00;5,33;0,15;0,16;71;40,09;30,91;
31-01-2019 01:00:00;31-01-2019 02:00:00;6,67;0,15;0,17;71,31;40,43;30,88;
31-01-2019 00:00:00;31-01-2019 01:00:00;5;0,15;0,15;70,78;40,05;30,73;
30-01-2019 23:00:00;31-01-2019 00:00:00;5,09;0,15;0,15;69,57;40,29;29,28;
30-01-2019 22:00:00;30-01-2019 23:00:00;5,23;0,14;0,16;68,88;40,43;28,45;
30-01-2019 21:00:00;30-01-2019 22:00:00;4,69;0,14;0,15;70,15;40,95;29,2;
30-01-2019 20:00:00;30-01-2019 21:00:00;5;0,13;0,15;69,56;41,41;28,15;
30-01-2019 19:00:00;30-01-2019 20:00:00;4,17;0,13;0,12;70,48;40,7;29,78;
30-01-2019 18:00:00;30-01-2019 19:00:00;5,2;0,12;0,14;71;40,88;30,11;
30-01-2019 17:00:00;30-01-2019 18:00:00;5,63;0,13;0,15;71,52;40,73;30,78;
30-01-2019 16:00:00;30-01-2019 17:00:00;5,16;0,12;0,12;75,37;38,54;36,83;
30-01-2019 15:00:00;30-01-2019 16:00:00;4,84;0,12;0,13;73,25;39,02;34,23;
30-01-2019 14:00:00;30-01-2019 15:00:00;7;0,11;0,16;74,3;38;36,3;
30-01-2019 13:00:00;30-01-2019 14:00:00;5;0,12;0,13;71,67;38,57;33,1;
30-01-2019 12:00:00;30-01-2019 13:00:00;5;0,11;0,12;74,93;37,75;37,18;
30-01-2019 11:00:00;30-01-2019 12:00:00;6;0,11;0,12;75,63;37,45;38,18;
30-01-2019 10:00:00;30-01-2019 11:00:00;5;0,12;0,13;75,43;37,47;37,96;
30-01-2019 09:00:00;30-01-2019 10:00:00;6;0,11;0,14;75,84;37,77;38,07;
30-01-2019 08:00:00;30-01-2019 09:00:00;5,5;0,12;0,13;75,62;37,71;37,91;
30-01-2019 07:00:00;30-01-2019 08:00:00;5,5;0,12;0,12;75,74;37,12;38,62;
30-01-2019 06:00:00;30-01-2019 07:00:00;6;0,12;0,14;75,74;37,12;38,62;
30-01-2019 05:00:00;30-01-2019 06:00:00;6;0,11;0,12;75,53;37,11;38,42;
30-01-2019 04:00:00;30-01-2019 05:00:00;6;0,12;0,15;74,52;38,04;36,48;
30-01-2019 03:00:00;30-01-2019 04:00:00;5,04;0,12;0,13;74,06;38,44;35,62;
30-01-2019 02:00:00;30-01-2019 03:00:00;5,04;0,13;0,13;73,75;39,31;34,43;
30-01-2019 01:00:00;30-01-2019 02:00:00;4,92;0,13;0,14;73,75;39,31;34,43;
30-01-2019 00:00:00;30-01-2019 01:00:00;5,05;0,13;0,14;72,25;39,38;32,87;
29-01-2019 23:00:00;30-01-2019 00:00:00;5,05;0,13;0,14;72,33;39,47;32,87;
29-01-2019 22:00:00;29-01-2019 23:00:00;5,9;0,13;0,15;72,33;39,47;32,87;
29-01-2019 21:00:00;29-01-2019 22:00:00;5,16;0,13;0,12;73,15;39,27;33,88;
29-01-2019 20:00:00;29-01-2019 21:00:00;4,84;0,12;0,13;75,34;38,74;36,6;
29-01-2019 19:00:00;29-01-2019 20:00:00;6;0,12;0,13;76,09;38,8;37,29;
29-01-2019 18:00:00;29-01-2019 19:00:00;5;0,12;0,12;76,01;38,19;37,82;
29-01-2019 17:00:00;29-01-2019 18:00:00;7;0,11;0,16;76,01;38,48;37,53;
29-01-2019 16:00:00;29-01-2019 17:00:00;6;0,11;0,12;75,38;37,56;37,82;
29-01-2019 15:00:00;29-01-2019 16:00:00;5;0,13;0,12;75,18;36,77;38,41;
29-01-2019 14:00:00;29-01-2019 15:00:00;5;0,2;0,12;75,88;35,94;39,94;
29-01-2019 13:00:00;29-01-2019 14:00:00;5,38;0,11;0,12;75,43;37,21;38,22;
29-01-2019 12:00:00;29-01-2019 13:00:00;5,72;0,11;0,12;76,15;37,59;38,56;
29-01-2019 11:00:00;29-01-2019 12:00:00;5,9;0,12;0,14;76,21;37,61;38,59;
29-01-2019 10:00:00;29-01-2019 11:00:00;5;0,12;0,12;76,12;37,26;38,86;
29-01-2019 09:00:00;29-01-2019 10:00:00;6;0,13;0,13;76,38;37,35;39,03;
29-01-2019 08:00:00;29-01-2019 09:00:00;6,29;0,13;0,14;76,36;37,95;38,41;
29-01-2019 07:00:00;29-01-2019 08:00:00;5,71;0,13;0,13;76,58;37,55;39,03;
29-01-2019 06:00:00;29-01-2019 07:00:00;6;0,13;0,14;76,44;37,75;38,69;
29-01-2019 05:00:00;29-01-2019 06:00:00;5,46;0,12;0,13;75,58;37,66;37,92;
29-01-2019 04:00:00;29-01-2019 05:00:00;5,54;0,13;0,13;75,9;37,62;38,28;
29-01-2019 03:00:00;29-01-2019 04:00:00;6;0,12;0,14;76,2;37,45;38,75;
29-01-2019 02:00:00;29-01-2019 03:00:00;0;0,13;0;72,88;39,09;33,79;
29-01-2019 01:00:00;29-01-2019 02:00:00;8;0,13;0,2;73,6;38,99;34,61;
29-01-2019 00:00:00;29-01-2019 01:00:00;8;0,13;0,2;73,6;38,99;34,61;
28-01-2019 23:00:00;29-01-2019 00:00:00;6,11;0,13;0,15;73,6;38,99;34,61;
28-01-2019 22:00:00;28-01-2019 23:00:00;6,89;0,13;0,15;73,48;38,14;35,34;
28-01-2019 21:00:00;28-01-2019 22:00:00;0;0,15;0;73,09;35,4;37,69;
28-01-2019 20:00:00;28-01-2019 21:00:00;13;0,13;0,3;72,21;38,71;33,5;
28-01-2019 19:00:00;28-01-2019 20:00:00;5;0,13;0,13;72,21;38,71;33,5;
28-01-2019 18:00:00;28-01-2019 19:00:00;5,26;0,12;0,14;72,63;38,95;33,68;
28-01-2019 17:00:00;28-01-2019 18:00:00;5,22;0,13;0,14;73,61;39,02;34,59;
28-01-2019 16:00:00;28-01-2019 17:00:00;5,72;0,13;0,13;72,87;39,46;33,41;
28-01-2019 15:00:00;28-01-2019 16:00:00;5,81;0,1;0,14;74,29;36,9;37,39;
28-01-2019 14:00:00;28-01-2019 15:00:00;4,76;0,12;0,11;75,94;37,19;38,75;
28-01-2019 13:00:00;28-01-2019 14:00:00;5,36;0,12;0,12;76,16;36,95;39,21;
28-01-2019 12:00:00;28-01-2019 13:00:00;6,97;0,11;0,14;76,45;37,17;39,28;
28-01-2019 11:00:00;28-01-2019 12:00:00;4,92;0,11;0,13;76,47;37,97;38,5;
28-01-2019 10:00:00;28-01-2019 11:00:00;5;0,11;0,13;75,87;38,25;37,62;
28-01-2019 09:00:00;28-01-2019 10:00:00;5;0,13;0,11;73,17;39,55;33,62;
28-01-2019 08:00:00;28-01-2019 09:00:00;6,1;0,11;0,13;76,04;38,47;37,57;
28-01-2019 07:00:00;28-01-2019 08:00:00;5,9;0,11;0,13;76,93;37,33;39,6;
28-01-2019 06:00:00;28-01-2019 07:00:00;6;0,13;0,14;74,23;37,04;37,19;
28-01-2019 05:00:00;28-01-2019 06:00:00;0;0,13;0;73,94;38,67;35,27;
28-01-2019 04:00:00;28-01-2019 05:00:00;11;0,14;0,29;72,77;38,71;34,06;
28-01-2019 03:00:00;28-01-2019 04:00:00;6;0,14;0,14;72,77;38,71;34,06;
28-01-2019 02:00:00;28-01-2019 03:00:00;5;0,21;0,13;72,55;36,17;36,38;
