StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;3,96;0,07;0,08;76,87;39,58;37,29;
31-01-2019 05:00:00;31-01-2019 06:00:00;3,05;0,07;0,08;76,34;40,1;36,24;
31-01-2019 04:00:00;31-01-2019 05:00:00;3,02;0,07;0,08;75,72;39,9;35,81;
31-01-2019 03:00:00;31-01-2019 04:00:00;3,58;0,07;0,08;75,01;39,69;35,32;
31-01-2019 02:00:00;31-01-2019 03:00:00;3,19;0,07;0,08;74,62;40,12;34,5;
31-01-2019 01:00:00;31-01-2019 02:00:00;2,81;0,08;0,08;73,14;39,08;34,06;
31-01-2019 00:00:00;31-01-2019 01:00:00;3;0,07;0,08;73,06;39,99;33,07;
30-01-2019 23:00:00;31-01-2019 00:00:00;3,2;0,07;0,09;72,19;39,78;32,41;
30-01-2019 22:00:00;30-01-2019 23:00:00;3,02;0,08;0,08;73,18;38,1;35,08;
30-01-2019 21:00:00;30-01-2019 22:00:00;3,25;0,07;0,08;72,07;39,17;32,91;
30-01-2019 20:00:00;30-01-2019 21:00:00;3,53;0,07;0,08;72,28;39,13;33,15;
30-01-2019 19:00:00;30-01-2019 20:00:00;3,26;0,07;0,08;72,88;39,54;33,34;
30-01-2019 18:00:00;30-01-2019 19:00:00;2,19;0,07;0,07;73,92;38,5;35,42;
30-01-2019 17:00:00;30-01-2019 18:00:00;3,85;0,07;0,08;74,68;38,41;36,27;
30-01-2019 16:00:00;30-01-2019 17:00:00;3,04;0,07;0,08;74,24;38,48;35,76;
30-01-2019 15:00:00;30-01-2019 16:00:00;4,08;0,06;0,08;76,51;38,03;38,49;
30-01-2019 14:00:00;30-01-2019 15:00:00;3,12;0,07;0,07;76,67;38,34;38,34;
30-01-2019 13:00:00;30-01-2019 14:00:00;3,53;0,07;0,08;76,86;38,01;38,85;
30-01-2019 12:00:00;30-01-2019 13:00:00;4,17;0,07;0,09;76,86;38,01;38,85;
30-01-2019 11:00:00;30-01-2019 12:00:00;4,24;0,08;0,09;79,91;36,73;43,18;
30-01-2019 10:00:00;30-01-2019 11:00:00;3,63;0,08;0,07;79,91;36,73;43,18;
30-01-2019 09:00:00;30-01-2019 10:00:00;3,47;0,06;0,08;79,18;38,29;40,89;
30-01-2019 08:00:00;30-01-2019 09:00:00;3,93;0,06;0,08;79,64;39,15;40,49;
30-01-2019 07:00:00;30-01-2019 08:00:00;3,88;0,07;0,08;79,3;38,65;40,65;
