StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;3,99;0,07;0,07;77,73;29,49;48,24;
31-01-2019 05:00:00;31-01-2019 06:00:00;3,87;0,07;0,08;76,87;29,51;47,36;
31-01-2019 04:00:00;31-01-2019 05:00:00;3,87;0,07;0,08;76,46;29,67;46,8;
31-01-2019 03:00:00;31-01-2019 04:00:00;4,29;0,08;0,09;76;30,19;45,81;
31-01-2019 02:00:00;31-01-2019 03:00:00;5,71;0,09;0,1;75,78;30,7;45,08;
31-01-2019 01:00:00;31-01-2019 02:00:00;3;0,08;0,07;74,38;28,8;45,58;
31-01-2019 00:00:00;31-01-2019 01:00:00;5,13;0,07;0,08;73,87;29,36;44,51;
30-01-2019 23:00:00;31-01-2019 00:00:00;7,87;0,36;0,17;74,79;26,45;48,35;
30-01-2019 22:00:00;30-01-2019 23:00:00;3,41;0,06;0,07;72,06;29,32;42,74;
30-01-2019 21:00:00;30-01-2019 22:00:00;4,06;0,06;0,07;72,83;29,38;43,45;
30-01-2019 20:00:00;30-01-2019 21:00:00;4,03;0,06;0,08;73,24;29,4;43,83;
30-01-2019 19:00:00;30-01-2019 20:00:00;4,5;0,08;0,09;75,09;28,66;46,43;
30-01-2019 18:00:00;30-01-2019 19:00:00;3,63;0,08;0,07;75,09;28,66;46,43;
30-01-2019 17:00:00;30-01-2019 18:00:00;3,63;0,07;0,07;75,22;29,21;46,02;
30-01-2019 16:00:00;30-01-2019 17:00:00;3,96;0,07;0,07;75,22;29,21;46,02;
30-01-2019 15:00:00;30-01-2019 16:00:00;3,28;0,06;0,07;76,76;29,32;47,44;
30-01-2019 14:00:00;30-01-2019 15:00:00;3,5;0,06;0,07;77,04;29,73;47,31;
30-01-2019 13:00:00;30-01-2019 14:00:00;4;0,06;0,07;77,04;29,73;47,31;
30-01-2019 12:00:00;30-01-2019 13:00:00;9;0,06;0,14;77,8;29,75;48,05;
30-01-2019 11:00:00;30-01-2019 12:00:00;6,15;0,29;0,1;81,51;26,54;54,97;
30-01-2019 10:00:00;30-01-2019 11:00:00;2,92;0,06;0,07;80,08;29,68;50,4;
30-01-2019 09:00:00;30-01-2019 10:00:00;4,03;0,06;0,07;80,34;29,52;50,82;
30-01-2019 08:00:00;30-01-2019 09:00:00;4,1;0,06;0,07;81,46;29,34;52,12;
30-01-2019 07:00:00;30-01-2019 08:00:00;3,81;0,06;0,08;81,46;29,34;52,12;
30-01-2019 06:00:00;30-01-2019 07:00:00;4,14;0,06;0,06;79,76;29,66;50,1;
30-01-2019 05:00:00;30-01-2019 06:00:00;4,11;0,06;0,07;79,64;29,69;49,95;
30-01-2019 04:00:00;30-01-2019 05:00:00;3,75;0,06;0,07;79,55;29,73;49,81;
30-01-2019 03:00:00;30-01-2019 04:00:00;4,54;0,07;0,09;78,95;29,66;49,29;
30-01-2019 02:00:00;30-01-2019 03:00:00;4,54;0,09;0,09;77,96;29,88;48,07;
30-01-2019 01:00:00;30-01-2019 02:00:00;4,92;0,09;0,09;77,96;29,88;48,07;
30-01-2019 00:00:00;30-01-2019 01:00:00;5,66;0,07;0,1;75,89;29,39;46,5;
29-01-2019 23:00:00;30-01-2019 00:00:00;5,66;0,06;0,1;74,54;29,07;45,47;
29-01-2019 22:00:00;29-01-2019 23:00:00;3,87;0,06;0,07;74,54;29,07;45,47;
29-01-2019 21:00:00;29-01-2019 22:00:00;3,81;0,06;0,08;77,43;29,18;48,25;
29-01-2019 20:00:00;29-01-2019 21:00:00;4,27;0,06;0,06;78,03;29,16;48,87;
29-01-2019 19:00:00;29-01-2019 20:00:00;4;0,06;0,07;80,67;29,19;51,48;
29-01-2019 18:00:00;29-01-2019 19:00:00;4;0,06;0,08;80,45;29,35;51,1;
