StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;3;0,07;0,08;77,07;34,97;42,1;
31-01-2019 05:00:00;31-01-2019 06:00:00;4;0,07;0,08;75,11;34,65;40,46;
31-01-2019 04:00:00;31-01-2019 05:00:00;3,13;0,07;0,07;74,62;33,52;41,1;
31-01-2019 03:00:00;31-01-2019 04:00:00;3,87;0,07;0,07;73,98;33,05;40,93;
31-01-2019 02:00:00;31-01-2019 03:00:00;3,05;0,07;0,07;73,26;32,13;41,13;
31-01-2019 01:00:00;31-01-2019 02:00:00;3,09;0,06;0,06;71,85;31,14;40,71;
31-01-2019 00:00:00;31-01-2019 01:00:00;2,86;0,06;0,07;71,95;30,63;41,31;
30-01-2019 23:00:00;31-01-2019 00:00:00;3,11;0,06;0,06;70,93;30,12;40,81;
30-01-2019 22:00:00;30-01-2019 23:00:00;2,22;0,06;0,05;70,24;30,2;40,04;
30-01-2019 21:00:00;30-01-2019 22:00:00;2,87;0,06;0,07;69,75;30,2;39,55;
30-01-2019 20:00:00;30-01-2019 21:00:00;3,03;0,05;0,05;70,46;29,85;40,61;
30-01-2019 19:00:00;30-01-2019 20:00:00;2,77;0,05;0,06;70,81;29,93;40,88;
30-01-2019 18:00:00;30-01-2019 19:00:00;2,27;0,05;0,06;71,38;30,39;40,99;
30-01-2019 17:00:00;30-01-2019 18:00:00;2,73;0,05;0,05;72,51;30,56;41,96;
30-01-2019 16:00:00;30-01-2019 17:00:00;3;0,05;0,06;75,73;31,02;44,71;
30-01-2019 15:00:00;30-01-2019 16:00:00;2,05;0,05;0,05;75,73;31,02;44,71;
30-01-2019 14:00:00;30-01-2019 15:00:00;2,95;0,05;0,05;73,58;31,66;41,92;
30-01-2019 13:00:00;30-01-2019 14:00:00;2,16;0,04;0,05;73,03;31,5;41,53;
30-01-2019 12:00:00;30-01-2019 13:00:00;2,34;0,04;0,06;72,89;33,18;39,71;
30-01-2019 11:00:00;30-01-2019 12:00:00;2,5;0,06;0,06;77,52;34,07;43,45;
30-01-2019 10:00:00;30-01-2019 11:00:00;3,25;0,06;0,06;77,52;34,07;43,45;
30-01-2019 09:00:00;30-01-2019 10:00:00;3,8;0,06;0,07;77,29;34,99;42,3;
30-01-2019 08:00:00;30-01-2019 09:00:00;3,37;0,07;0,07;78,52;34,7;43,83;
30-01-2019 07:00:00;30-01-2019 08:00:00;3,68;0,06;0,07;78,12;33,96;44,16;
30-01-2019 06:00:00;30-01-2019 07:00:00;3,18;0,06;0,06;77,58;33,71;43,87;
30-01-2019 05:00:00;30-01-2019 06:00:00;2,87;0,06;0,06;77,04;32,95;44,09;
30-01-2019 04:00:00;30-01-2019 05:00:00;3,16;0,06;0,07;76,26;31,43;44,83;
30-01-2019 03:00:00;30-01-2019 04:00:00;3,21;0,06;0,06;76,26;31,43;44,83;
30-01-2019 02:00:00;30-01-2019 03:00:00;3,53;0,05;0,07;74,96;30,57;44,4;
30-01-2019 01:00:00;30-01-2019 02:00:00;3,14;0,05;0,05;74,96;30,57;44,4;
30-01-2019 00:00:00;30-01-2019 01:00:00;2,81;0,05;0,06;75,67;30,36;45,31;
29-01-2019 23:00:00;30-01-2019 00:00:00;3;0,05;0,06;73,58;30,03;43,55;
29-01-2019 22:00:00;29-01-2019 23:00:00;2,05;0,05;0,06;73,58;30,03;43,55;
29-01-2019 21:00:00;29-01-2019 22:00:00;3,14;0,05;0,05;73,92;30,43;43,5;
29-01-2019 20:00:00;29-01-2019 21:00:00;2,81;0,05;0,06;74,68;30,89;43,8;
29-01-2019 19:00:00;29-01-2019 20:00:00;3,24;0,05;0,05;78,06;31,57;46,49;
29-01-2019 18:00:00;29-01-2019 19:00:00;2,93;0,05;0,06;78,05;31,75;46,3;
29-01-2019 17:00:00;29-01-2019 18:00:00;2,15;0,05;0,05;77,86;31,45;46,41;
29-01-2019 16:00:00;29-01-2019 17:00:00;3,89;0,05;0,07;77,34;32,07;45,28;
29-01-2019 15:00:00;29-01-2019 16:00:00;2,1;0,06;0,05;78;32,63;45,37;
29-01-2019 14:00:00;29-01-2019 15:00:00;3,69;0,04;0,06;75,72;34,31;41,41;
29-01-2019 13:00:00;29-01-2019 14:00:00;2,1;0,06;0,05;77,4;34,09;43,31;
29-01-2019 12:00:00;29-01-2019 13:00:00;2,9;0,05;0,06;77,43;34,04;43,4;
29-01-2019 11:00:00;29-01-2019 12:00:00;5;0,05;0,12;77,51;35,7;41,81;
29-01-2019 10:00:00;29-01-2019 11:00:00;3,13;0,06;0,07;77,45;34,58;42,87;
29-01-2019 09:00:00;29-01-2019 10:00:00;4,01;0,06;0,07;77,97;36,64;41,34;
29-01-2019 08:00:00;29-01-2019 09:00:00;4,24;0,08;0,08;78,7;36,29;42,42;
29-01-2019 07:00:00;29-01-2019 08:00:00;3,82;0,08;0,08;79,12;35,95;43,17;
29-01-2019 06:00:00;29-01-2019 07:00:00;3,93;0,08;0,09;78,9;35,72;43,18;
29-01-2019 05:00:00;29-01-2019 06:00:00;3,92;0,07;0,08;78,41;35,06;43,34;
29-01-2019 04:00:00;29-01-2019 05:00:00;3,09;0,07;0,07;77,77;33,99;43,79;
29-01-2019 03:00:00;29-01-2019 04:00:00;4,17;0,07;0,07;77,97;33,69;44,27;
29-01-2019 02:00:00;29-01-2019 03:00:00;4,69;0,07;0,08;77,58;32,6;44,98;
29-01-2019 01:00:00;29-01-2019 02:00:00;0;0,06;0;73,81;31,19;42,62;
29-01-2019 00:00:00;29-01-2019 01:00:00;5;0,06;0,1;77,22;30,53;46,69;
28-01-2019 23:00:00;29-01-2019 00:00:00;0;0,06;0;77,22;30,53;46,69;
28-01-2019 22:00:00;28-01-2019 23:00:00;6,19;0,06;0,13;74;30,1;43,91;
28-01-2019 21:00:00;28-01-2019 22:00:00;2,81;0,06;0,07;74;30,1;43,91;
28-01-2019 20:00:00;28-01-2019 21:00:00;3,27;0,05;0,05;72,99;30,02;42,97;
28-01-2019 19:00:00;28-01-2019 20:00:00;2,73;0,05;0,06;72,85;30,15;42,7;
28-01-2019 18:00:00;28-01-2019 19:00:00;2,15;0,05;0,05;73,07;30,19;42,88;
28-01-2019 17:00:00;28-01-2019 18:00:00;2,96;0,05;0,06;73,74;30,6;43,15;
28-01-2019 16:00:00;28-01-2019 17:00:00;3,21;0,05;0,06;74,42;30,5;43,92;
28-01-2019 15:00:00;28-01-2019 16:00:00;4,69;0,05;0,08;73,88;30,89;42,99;
28-01-2019 14:00:00;28-01-2019 15:00:00;1,97;0,05;0,06;76,78;31,87;44,91;
28-01-2019 13:00:00;28-01-2019 14:00:00;3,45;0,05;0,06;76,87;32,17;44,7;
28-01-2019 12:00:00;28-01-2019 13:00:00;3,58;0,05;0,07;77,34;32,47;44,87;
28-01-2019 11:00:00;28-01-2019 12:00:00;4;0,05;0,07;77,57;33,08;44,49;
28-01-2019 10:00:00;28-01-2019 11:00:00;4;0,06;0,1;77,82;34,18;43,64;
28-01-2019 09:00:00;28-01-2019 10:00:00;3,05;0,06;0,06;77,07;34,46;42,61;
28-01-2019 08:00:00;28-01-2019 09:00:00;2,95;0,07;0,07;75,11;34,74;40,37;
28-01-2019 07:00:00;28-01-2019 08:00:00;0;0,07;0;77,87;34,74;43,14;
28-01-2019 06:00:00;28-01-2019 07:00:00;8;0,07;0,15;75,36;33,84;41,52;
28-01-2019 05:00:00;28-01-2019 06:00:00;3,05;0,07;0,07;75,36;33,84;41,52;
28-01-2019 04:00:00;28-01-2019 05:00:00;3,25;0,07;0,07;75,01;32,86;42,14;
28-01-2019 03:00:00;28-01-2019 04:00:00;3,69;0,06;0,06;74,92;32,5;42,41;
28-01-2019 02:00:00;28-01-2019 03:00:00;3;0,06;0,07;74,14;31,92;42,22;
28-01-2019 01:00:00;28-01-2019 02:00:00;0;0,06;0;73,33;31,43;41,9;
28-01-2019 00:00:00;28-01-2019 01:00:00;5,43;0,06;0,13;71,71;31,34;40,37;
27-01-2019 23:00:00;28-01-2019 00:00:00;3,71;0,06;0,07;71,71;31,34;40,37;
27-01-2019 22:00:00;27-01-2019 23:00:00;2,95;0,06;0,07;71,27;31,87;39,4;
27-01-2019 21:00:00;27-01-2019 22:00:00;2,9;0,06;0,07;69,98;31,66;38,32;
27-01-2019 20:00:00;27-01-2019 21:00:00;3,24;0,06;0,07;70,52;32,12;38,4;
27-01-2019 19:00:00;27-01-2019 20:00:00;2,91;0,06;0,07;73,1;32,14;40,96;
27-01-2019 18:00:00;27-01-2019 19:00:00;2,95;0,06;0,07;72,01;32,03;39,98;
27-01-2019 17:00:00;27-01-2019 18:00:00;2,9;0,06;0,07;72,09;32,21;39,88;
27-01-2019 16:00:00;27-01-2019 17:00:00;3,36;0,06;0,08;72,03;32,21;39,82;
27-01-2019 15:00:00;27-01-2019 16:00:00;3,64;0,06;0,07;72,51;32,45;40,06;
27-01-2019 14:00:00;27-01-2019 15:00:00;3,31;0,06;0,08;73,7;32,62;41,08;
27-01-2019 13:00:00;27-01-2019 14:00:00;3,69;0,06;0,07;74,07;32,66;41,41;
27-01-2019 12:00:00;27-01-2019 13:00:00;4;0,06;0,08;75,2;32,96;42,24;
27-01-2019 11:00:00;27-01-2019 12:00:00;3,05;0,06;0,07;75,17;33,83;41,34;
27-01-2019 10:00:00;27-01-2019 11:00:00;3,06;0,06;0,07;75,23;34,4;40,83;
27-01-2019 09:00:00;27-01-2019 10:00:00;3,22;0,07;0,08;73,56;35,67;37,89;
27-01-2019 08:00:00;27-01-2019 09:00:00;3,87;0,07;0,08;74,74;35,43;39,3;
27-01-2019 07:00:00;27-01-2019 08:00:00;3,81;0,08;0,09;73,51;35,25;38,26;
27-01-2019 06:00:00;27-01-2019 07:00:00;0;0,08;0;72,63;35,42;37,21;
27-01-2019 05:00:00;27-01-2019 06:00:00;7;0,08;0,17;70,48;34,2;36,28;
27-01-2019 04:00:00;27-01-2019 05:00:00;4;0,08;0,09;70,48;34,2;36,28;
27-01-2019 03:00:00;27-01-2019 04:00:00;0;0,08;0;70,2;33,33;36,87;
27-01-2019 02:00:00;27-01-2019 03:00:00;4,5;0,07;0,11;69,4;31,83;37,57;
27-01-2019 01:00:00;27-01-2019 02:00:00;4,5;0,07;0,11;69,4;31,83;37,57;
27-01-2019 00:00:00;27-01-2019 01:00:00;3,05;0,07;0,06;69,4;31,83;37,57;
26-01-2019 23:00:00;27-01-2019 00:00:00;3,09;0,07;0,07;70,06;31,77;38,29;
26-01-2019 22:00:00;26-01-2019 23:00:00;2,91;0,06;0,07;70,97;31,71;39,26;
26-01-2019 21:00:00;26-01-2019 22:00:00;3,19;0,06;0,07;71,13;32,06;39,08;
26-01-2019 20:00:00;26-01-2019 21:00:00;2,92;0,07;0,07;72;32,36;39,64;
26-01-2019 19:00:00;26-01-2019 20:00:00;3,25;0,07;0,07;72,12;32,71;39,41;
26-01-2019 18:00:00;26-01-2019 19:00:00;4,07;0,06;0,09;72,68;33,93;38,76;
26-01-2019 17:00:00;26-01-2019 18:00:00;3,62;0,1;0,07;74,22;33,4;40,83;
26-01-2019 16:00:00;26-01-2019 17:00:00;2,96;0,06;0,07;72,9;32,01;40,89;
26-01-2019 15:00:00;26-01-2019 16:00:00;3,22;0,06;0,07;74,46;32,13;42,33;
26-01-2019 14:00:00;26-01-2019 15:00:00;2,78;0,06;0,06;73,19;32,95;40,24;
26-01-2019 13:00:00;26-01-2019 14:00:00;3,2;0,06;0,07;75,04;33,37;41,66;
26-01-2019 12:00:00;26-01-2019 13:00:00;3,75;0,06;0,07;76,09;33,57;42,52;
26-01-2019 11:00:00;26-01-2019 12:00:00;5;0,06;0,12;76,48;34,01;42,47;
26-01-2019 10:00:00;26-01-2019 11:00:00;4;0,07;0,08;77,34;35,88;41,46;
26-01-2019 09:00:00;26-01-2019 10:00:00;3;0,08;0,08;77,09;36,64;40,45;
26-01-2019 08:00:00;26-01-2019 09:00:00;4,25;0,08;0,09;76,73;36,62;40,11;
26-01-2019 07:00:00;26-01-2019 08:00:00;3,75;0,08;0,09;75,78;36,52;39,26;
26-01-2019 06:00:00;26-01-2019 07:00:00;0;0,08;0;75,13;36,35;38,78;
26-01-2019 05:00:00;26-01-2019 06:00:00;8,19;0,09;0,17;74,72;35,71;39,01;
26-01-2019 04:00:00;26-01-2019 05:00:00;3,81;0,09;0,09;74,72;35,71;39,01;
26-01-2019 03:00:00;26-01-2019 04:00:00;0;0,08;0;73,94;34,43;39,51;
26-01-2019 02:00:00;26-01-2019 03:00:00;4,5;0,07;0,1;75,28;32,63;42,65;
26-01-2019 01:00:00;26-01-2019 02:00:00;4,5;0,07;0,1;75,28;32,63;42,65;
26-01-2019 00:00:00;26-01-2019 01:00:00;4,5;0,07;0,1;75,28;32,63;42,65;
25-01-2019 23:00:00;26-01-2019 00:00:00;4,5;0,07;0,1;75,28;32,63;42,65;
25-01-2019 22:00:00;25-01-2019 23:00:00;3,05;0,07;0,06;75,28;32,63;42,65;
25-01-2019 21:00:00;25-01-2019 22:00:00;3,02;0,06;0,07;75,08;32,53;42,55;
25-01-2019 20:00:00;25-01-2019 21:00:00;3,93;0,06;0,07;75,64;32,62;43,02;
25-01-2019 19:00:00;25-01-2019 20:00:00;3;0,07;0,07;76,34;32,88;43,46;
25-01-2019 18:00:00;25-01-2019 19:00:00;4,1;0,07;0,07;78,23;33,7;44,53;
25-01-2019 17:00:00;25-01-2019 18:00:00;2,9;0,07;0,08;77,65;33,84;43,81;
25-01-2019 16:00:00;25-01-2019 17:00:00;4,14;0,07;0,08;78,24;34,41;43,83;
25-01-2019 15:00:00;25-01-2019 16:00:00;4,17;0,34;0,08;80,01;36,9;43,11;
25-01-2019 14:00:00;25-01-2019 15:00:00;3,74;0,07;0,07;78,08;34,15;43,94;
25-01-2019 13:00:00;25-01-2019 14:00:00;3,2;0,07;0,07;77,39;34,81;42,58;
25-01-2019 12:00:00;25-01-2019 13:00:00;3,82;0,07;0,08;78,9;35,2;43,69;
25-01-2019 11:00:00;25-01-2019 12:00:00;4,18;0,07;0,07;78,4;35,7;42,7;
25-01-2019 10:00:00;25-01-2019 11:00:00;3,75;0,07;0,07;78,67;35,9;42,78;
25-01-2019 09:00:00;25-01-2019 10:00:00;0;0,07;0;79,78;36,77;43,01;
