StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
07-02-2019 10:00:00;07-02-2019 11:00:00;5;0,1;0,12;71,75;41,09;30,66;
07-02-2019 09:00:00;07-02-2019 10:00:00;5;0,12;0,16;72,54;43,71;28,83;
07-02-2019 08:00:00;07-02-2019 09:00:00;5;0,15;0,13;71,46;42,39;29,07;
07-02-2019 07:00:00;07-02-2019 08:00:00;4;0,1;0,11;70,32;41,71;28,61;
07-02-2019 06:00:00;07-02-2019 07:00:00;4;0,11;0,13;71,03;39,7;31,33;
07-02-2019 05:00:00;07-02-2019 06:00:00;5,0666666666657;0,2;0,13;71,64;34,75;36,89;
07-02-2019 04:00:00;07-02-2019 05:00:00;3,99784946236468;0,11;0,12;70,8543333333333;41,163;29,6913333333333;
07-02-2019 03:00:00;07-02-2019 04:00:00;3,87096774193924;0,1;0,13;70,446935483871;43,6712903225806;26,7756451612903;
07-02-2019 02:00:00;07-02-2019 03:00:00;4,39785012903303;0,11;0,13;66,063064516129;41,9487096774194;24,1143548387097;
07-02-2019 01:00:00;07-02-2019 02:00:00;4,40555521666101;0,11;0,13;70,43;34,6;35,83;
07-02-2019 00:00:00;07-02-2019 01:00:00;4,32890739350842;0,11;0,13;70,43;34,6;35,83;
06-02-2019 23:00:00;07-02-2019 00:00:00;4,09349371241115;0,11;0,12;70,4089830508475;34,6896610169492;35,7193220338983;
06-02-2019 22:00:00;06-02-2019 23:00:00;4,83870967741677;0,19;0,13;69,22;39,9564516129032;29,2635483870968;
06-02-2019 21:00:00;06-02-2019 22:00:00;3,93442622950533;0,1;0,12;70,12;41,95;28,17;
06-02-2019 20:00:00;06-02-2019 21:00:00;4,22950819672405;0,1;0,13;70,936393442623;41,8614754098361;29,0749180327869;
06-02-2019 19:00:00;06-02-2019 20:00:00;4,90058170280099;0,11;0,13;70,7419672131148;42,1831147540984;28,5588524590164;
06-02-2019 18:00:00;06-02-2019 19:00:00;3,87096774193924;0,11;0,13;70,218064516129;42,561935483871;27,6561290322581;
06-02-2019 17:00:00;06-02-2019 18:00:00;4,06451612903038;0,1;0,11;70,701935483871;42,078064516129;28,6238709677419;
06-02-2019 16:00:00;06-02-2019 17:00:00;4,91803278688167;0,11;0,13;72,08;39,33;32,75;
06-02-2019 15:00:00;06-02-2019 16:00:00;4,99863387978257;0,12;0,12;72,4537704918033;41,5627868852459;30,8909836065574;
06-02-2019 14:00:00;06-02-2019 15:00:00;4,14890710383042;0,1;0,12;73,345;42,8783333333333;30,4666666666667;
