StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;4;0,07;0,09;76,5;30,89;45,61;
31-01-2019 05:00:00;31-01-2019 06:00:00;5,19;0,08;0,09;76,67;29,97;46,7;
31-01-2019 04:00:00;31-01-2019 05:00:00;3,81;0,07;0,08;75,12;27,57;47,55;
31-01-2019 03:00:00;31-01-2019 04:00:00;4,2;0,07;0,08;75,02;29,62;45,4;
31-01-2019 02:00:00;31-01-2019 03:00:00;5,87;0,1;0,1;75,03;30,08;44,95;
31-01-2019 01:00:00;31-01-2019 02:00:00;4,02;0,08;0,09;74,28;31,51;42,77;
31-01-2019 00:00:00;31-01-2019 01:00:00;4,92;0,08;0,1;74,19;30,37;43,82;
30-01-2019 23:00:00;31-01-2019 00:00:00;5;0,1;0,09;72,96;27,92;45,04;
30-01-2019 22:00:00;30-01-2019 23:00:00;3,08;0,07;0,08;73,17;27,65;45,52;
30-01-2019 21:00:00;30-01-2019 22:00:00;5,04;0,07;0,09;73,21;27,31;45,9;
30-01-2019 20:00:00;30-01-2019 21:00:00;3,87;0,07;0,08;73,19;29,01;44,18;
30-01-2019 19:00:00;30-01-2019 20:00:00;4;0,07;0,08;73,76;28,11;45,65;
30-01-2019 18:00:00;30-01-2019 19:00:00;5;0,11;0,09;75,18;28,61;46,57;
30-01-2019 17:00:00;30-01-2019 18:00:00;5;0,07;0,08;78,73;27,55;51,18;
30-01-2019 16:00:00;30-01-2019 17:00:00;4;0,07;0,09;78,73;27,55;51,18;
30-01-2019 15:00:00;30-01-2019 16:00:00;4,03;0,08;0,06;77,11;27,04;50,07;
30-01-2019 14:00:00;30-01-2019 15:00:00;4,03;0,06;0,06;76,17;27,07;49,1;
30-01-2019 13:00:00;30-01-2019 14:00:00;3,93;0,06;0,07;76,17;27,07;49,1;
30-01-2019 12:00:00;30-01-2019 13:00:00;4;0,05;0,07;78,53;26,08;52,45;
30-01-2019 11:00:00;30-01-2019 12:00:00;4;0,05;0,07;78,53;26,08;52,45;
30-01-2019 10:00:00;30-01-2019 11:00:00;4;0,06;0,07;78,65;27,92;50,73;
30-01-2019 09:00:00;30-01-2019 10:00:00;4;0,06;0,07;78,65;27,92;50,73;
30-01-2019 08:00:00;30-01-2019 09:00:00;5;0,05;0,07;79,15;25,75;53,4;
30-01-2019 07:00:00;30-01-2019 08:00:00;4;0,08;0,07;79,63;27,04;52,59;
30-01-2019 06:00:00;30-01-2019 07:00:00;4;0,06;0,07;78,93;26,86;52,07;
30-01-2019 05:00:00;30-01-2019 06:00:00;5;0,07;0,09;79,1;27,12;51,98;
30-01-2019 04:00:00;30-01-2019 05:00:00;4;0,07;0,07;78,17;27,99;50,18;
30-01-2019 03:00:00;30-01-2019 04:00:00;4,56;0,07;0,08;77,46;26,89;50,57;
30-01-2019 02:00:00;30-01-2019 03:00:00;4,56;0,06;0,08;76,25;26,97;49,28;
30-01-2019 01:00:00;30-01-2019 02:00:00;3,87;0,06;0,07;76,25;26,97;49,28;
30-01-2019 00:00:00;30-01-2019 01:00:00;4;0,06;0,08;75,22;26,94;48,28;
29-01-2019 23:00:00;30-01-2019 00:00:00;4;0,07;0,08;75,98;27,53;48,45;
29-01-2019 22:00:00;29-01-2019 23:00:00;4;0,07;0,06;75,98;27,53;48,45;
29-01-2019 21:00:00;29-01-2019 22:00:00;5,25;0,06;0,09;77,39;29,08;48,31;
29-01-2019 20:00:00;29-01-2019 21:00:00;3,75;0,07;0,08;78,98;27,15;51,83;
29-01-2019 19:00:00;29-01-2019 20:00:00;4;0,07;0,07;80;26,53;53,47;
29-01-2019 18:00:00;29-01-2019 19:00:00;6,07;0,1;0,1;80,75;31,36;49,39;
29-01-2019 17:00:00;29-01-2019 18:00:00;4,06;0,06;0,06;79,51;26,38;53,13;
29-01-2019 16:00:00;29-01-2019 17:00:00;3,95;0,06;0,08;79,53;27,47;52,05;
29-01-2019 15:00:00;29-01-2019 16:00:00;4,92;0,09;0,08;80,61;28,74;51,88;
29-01-2019 14:00:00;29-01-2019 15:00:00;4;0,06;0,06;79,7;28,67;51,03;
29-01-2019 13:00:00;29-01-2019 14:00:00;5;0,06;0,09;79,96;29,26;50,7;
29-01-2019 12:00:00;29-01-2019 13:00:00;4;0,09;0,07;81,03;29,32;51,71;
29-01-2019 11:00:00;29-01-2019 12:00:00;4,38;0,06;0,08;80,06;30,41;49,65;
29-01-2019 10:00:00;29-01-2019 11:00:00;5,63;0,06;0,11;79,61;28,62;50,99;
29-01-2019 09:00:00;29-01-2019 10:00:00;6;0,13;0,11;83,13;38,79;44,34;
29-01-2019 08:00:00;29-01-2019 09:00:00;4,08;0,06;0,07;80,79;26,48;54,31;
29-01-2019 07:00:00;29-01-2019 08:00:00;4,92;0,07;0,1;80,65;29,16;51,49;
29-01-2019 06:00:00;29-01-2019 07:00:00;4;0,08;0,06;80,46;26,51;53,95;
29-01-2019 05:00:00;29-01-2019 06:00:00;5;0,08;0,1;80,4;32,36;48,04;
29-01-2019 04:00:00;29-01-2019 05:00:00;0;0,09;0;81;31,94;49,06;
29-01-2019 03:00:00;29-01-2019 04:00:00;10;0,1;0,16;77,42;29,74;47,68;
29-01-2019 02:00:00;29-01-2019 03:00:00;0;0,1;0;77,42;29,74;47,68;
29-01-2019 01:00:00;29-01-2019 02:00:00;9;0,06;0,17;78,48;27,21;51,27;
29-01-2019 00:00:00;29-01-2019 01:00:00;5;0,06;0,09;78,48;27,21;51,27;
28-01-2019 23:00:00;29-01-2019 00:00:00;5;0,1;0,08;77,35;26,87;50,48;
28-01-2019 22:00:00;28-01-2019 23:00:00;0;0,07;0;76,55;26,22;50,33;
28-01-2019 21:00:00;28-01-2019 22:00:00;8;0,08;0,15;75,76;28,37;47,39;
28-01-2019 20:00:00;28-01-2019 21:00:00;0;0,08;0;75,76;28,37;47,39;
28-01-2019 19:00:00;28-01-2019 20:00:00;9,31;0,09;0,18;76,67;29,29;47,38;
28-01-2019 18:00:00;28-01-2019 19:00:00;4,69;0,09;0,08;76,67;29,29;47,38;
28-01-2019 17:00:00;28-01-2019 18:00:00;4;0,06;0,08;76,42;30,26;46,16;
28-01-2019 16:00:00;28-01-2019 17:00:00;5;0,06;0,09;76,46;30,45;46,01;
28-01-2019 15:00:00;28-01-2019 16:00:00;5,08;0,08;0,08;77,17;28,3;48,87;
28-01-2019 14:00:00;28-01-2019 15:00:00;4,76;0,07;0,08;80,53;27,64;52,89;
28-01-2019 13:00:00;28-01-2019 14:00:00;5,16;0,09;0,09;80,99;28,3;52,7;
28-01-2019 12:00:00;28-01-2019 13:00:00;4;0,06;0,07;79,84;27,97;51,87;
28-01-2019 11:00:00;28-01-2019 12:00:00;5;0,07;0,09;80,21;27,52;52,69;
28-01-2019 10:00:00;28-01-2019 11:00:00;4,31;0,11;0,08;77,99;27,68;50,31;
28-01-2019 09:00:00;28-01-2019 10:00:00;4,69;0,07;0,08;79,95;35,05;44,89;
28-01-2019 08:00:00;28-01-2019 09:00:00;6;0,07;0,1;79,92;29,43;50,49;
28-01-2019 07:00:00;28-01-2019 08:00:00;4;0,08;0,08;80,31;28,04;52,27;
28-01-2019 06:00:00;28-01-2019 07:00:00;5;0,07;0,09;77,21;27,49;49,72;
28-01-2019 05:00:00;28-01-2019 06:00:00;5,08;0,1;0,08;78,02;27,92;50,1;
28-01-2019 04:00:00;28-01-2019 05:00:00;4,92;0,07;0,09;76,81;27,66;49,15;
28-01-2019 03:00:00;28-01-2019 04:00:00;4,16;0,07;0,09;76,34;27,73;48,61;
28-01-2019 02:00:00;28-01-2019 03:00:00;4,84;0,09;0,08;76,47;27,48;48,99;
28-01-2019 01:00:00;28-01-2019 02:00:00;0;0,08;0;75,58;27,41;48,17;
28-01-2019 00:00:00;28-01-2019 01:00:00;9,08;0,08;0,18;73,2;27,48;45,72;
27-01-2019 23:00:00;28-01-2019 00:00:00;4,92;0,08;0,08;73,2;27,48;45,72;
27-01-2019 22:00:00;27-01-2019 23:00:00;5,16;0,08;0,09;74,95;27,88;47,07;
27-01-2019 21:00:00;27-01-2019 22:00:00;4,9;0,1;0,1;73;27,77;45,23;
27-01-2019 20:00:00;27-01-2019 21:00:00;3,93;0,08;0,09;73,87;28,11;45,76;
27-01-2019 19:00:00;27-01-2019 20:00:00;6;0,08;0,1;74,21;28,12;46,09;
27-01-2019 18:00:00;27-01-2019 19:00:00;4;0,08;0,08;74,76;27,53;47,23;
27-01-2019 17:00:00;27-01-2019 18:00:00;5;0,08;0,09;74,09;26,96;47,13;
27-01-2019 16:00:00;27-01-2019 17:00:00;5;0,11;0,1;75,31;29,43;45,88;
27-01-2019 15:00:00;27-01-2019 16:00:00;5;0,07;0,11;75,44;30,74;44,7;
27-01-2019 14:00:00;27-01-2019 15:00:00;6;0,1;0,1;76,69;30,08;46,61;
27-01-2019 13:00:00;27-01-2019 14:00:00;5,08;0,12;0,1;77,73;29,56;48,17;
27-01-2019 12:00:00;27-01-2019 13:00:00;4,92;0,09;0,09;77,66;28,69;48,97;
27-01-2019 11:00:00;27-01-2019 12:00:00;6,08;0,08;0,1;77,74;28,34;49,4;
27-01-2019 10:00:00;27-01-2019 11:00:00;5;0,12;0,11;76,99;35,54;41,45;
27-01-2019 09:00:00;27-01-2019 10:00:00;4,92;0,09;0,1;77,69;30,99;46,69;
27-01-2019 08:00:00;27-01-2019 09:00:00;6;0,1;0,11;76,8;32,38;44,42;
27-01-2019 07:00:00;27-01-2019 08:00:00;4;0,09;0,1;74,42;30,46;43,96;
27-01-2019 06:00:00;27-01-2019 07:00:00;0;0,09;0;73,8;29,81;43,99;
27-01-2019 05:00:00;27-01-2019 06:00:00;11;0,09;0,2;73,23;29,63;43,6;
27-01-2019 04:00:00;27-01-2019 05:00:00;0;0,09;0;73,23;29,63;43,6;
27-01-2019 03:00:00;27-01-2019 04:00:00;7;0,09;0,15;73,31;31,73;41,58;
27-01-2019 02:00:00;27-01-2019 03:00:00;7;0,09;0,15;73,31;31,73;41,58;
27-01-2019 01:00:00;27-01-2019 02:00:00;0;0,09;0;73,31;31,73;41,58;
27-01-2019 00:00:00;27-01-2019 01:00:00;10;0,09;0,22;72,66;30,24;42,42;
26-01-2019 23:00:00;27-01-2019 00:00:00;5;0,09;0,09;72,66;30,24;42,42;
26-01-2019 22:00:00;26-01-2019 23:00:00;5;0,09;0,11;73,7;29,57;44,13;
26-01-2019 21:00:00;26-01-2019 22:00:00;5;0,11;0,09;74,36;28,58;45,78;
26-01-2019 20:00:00;26-01-2019 21:00:00;5;0,08;0,1;74,71;27,6;47,11;
26-01-2019 19:00:00;26-01-2019 20:00:00;6;0,11;0,12;76,02;36,92;39,1;
26-01-2019 18:00:00;26-01-2019 19:00:00;0;0,08;0;75,75;27,54;48,21;
26-01-2019 17:00:00;26-01-2019 18:00:00;11;0,09;0,2;76,26;28,52;47,74;
26-01-2019 16:00:00;26-01-2019 17:00:00;5;0,09;0,1;76,26;28,52;47,74;
26-01-2019 15:00:00;26-01-2019 16:00:00;5;0,09;0,1;76,11;29,37;46,74;
