StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
07-02-2019 10:00:00;07-02-2019 11:00:00;3;0,06;0,06;68,45;26,13;42,32;
07-02-2019 09:00:00;07-02-2019 10:00:00;3,2721893491107;0,06;0,08;68,24;27,25;40,99;
07-02-2019 08:00:00;07-02-2019 09:00:00;3,26627218935027;0,06;0,07;68,0968047337278;27,3898816568047;40,7069230769231;
07-02-2019 07:00:00;07-02-2019 08:00:00;6,46153846153902;0,07;0,13;67,9384615384615;30,0284615384615;37,91;
07-02-2019 06:00:00;07-02-2019 07:00:00;3,13846153846316;0,06;0,07;68,16;29,65;38,51;
07-02-2019 05:00:00;07-02-2019 06:00:00;2,76923076923049;0,06;0,06;67,2793846153846;27,8349230769231;39,4444615384615;
07-02-2019 04:00:00;07-02-2019 05:00:00;2,85421245421094;0,06;0,06;67,0670769230769;27,1333846153846;39,9336923076923;
07-02-2019 03:00:00;07-02-2019 04:00:00;2,13464696223309;0,05;0,06;67,3269841269841;27,5334920634921;39,7934920634921;
07-02-2019 02:00:00;07-02-2019 03:00:00;2,77011560919709;0,06;0,06;66,7146551724138;27,2191379310345;39,4955172413793;
07-02-2019 01:00:00;07-02-2019 02:00:00;2,46153815384241;0,03;0,05;64,22;29,13;35,09;
07-02-2019 00:00:00;07-02-2019 01:00:00;2,66666633333443;0,03;0,06;64,22;29,13;35,09;
06-02-2019 23:00:00;07-02-2019 00:00:00;2,23902648457442;0,03;0,06;64,22;29,13;35,09;
06-02-2019 22:00:00;06-02-2019 23:00:00;2,05985169491396;0,04;0,06;63,5291525423729;28,1116949152542;35,4174576271186;
06-02-2019 21:00:00;06-02-2019 22:00:00;2,8125;0,05;0,05;66,3796875;27,0509375;39,32875;
06-02-2019 20:00:00;06-02-2019 21:00:00;2,28125;0,05;0,05;66,3703125;27,0790625;39,29125;
06-02-2019 19:00:00;06-02-2019 20:00:00;2,8125;0,05;0,05;67,3025;26,816875;40,485625;
06-02-2019 18:00:00;06-02-2019 19:00:00;3,03174603174557;0,05;0,07;68,84;26,77;42,07;
06-02-2019 17:00:00;06-02-2019 18:00:00;1,90476190476329;0,05;0,05;65,9601587301587;27,5747619047619;38,3853968253968;
06-02-2019 16:00:00;06-02-2019 17:00:00;2,0295937584051;0,09;0,05;68,3696825396825;23,6604761904762;44,7092063492064;
06-02-2019 15:00:00;06-02-2019 16:00:00;3,90275076410398;0,14;0,08;71,2910169491525;40,7825423728814;30,5084745762712;
06-02-2019 14:00:00;06-02-2019 15:00:00;2,37308302485326;0,04;0,06;67,1132786885246;29,4637704918033;37,6495081967213;
06-02-2019 13:00:00;06-02-2019 14:00:00;2,91595925297224;0,06;0,06;68,006935483871;27,148064516129;40,8588709677419;
06-02-2019 12:00:00;06-02-2019 13:00:00;3,31085526315655;0,17;0,07;70,4621052631579;26,2057894736842;44,2563157894737;
06-02-2019 11:00:00;06-02-2019 12:00:00;4,6602822580644;0,06;0,09;70,2609375;28,0640625;42,196875;
06-02-2019 10:00:00;06-02-2019 11:00:00;3,8709677419356;0,06;0,07;71,441935483871;27,6187096774194;43,8232258064516;
06-02-2019 09:00:00;06-02-2019 10:00:00;3,5625;0,07;0,08;71,8;27,58;44,22;
