StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;3,2;0,15;0,11;76,57;48,9;27,67;
31-01-2019 05:00:00;31-01-2019 06:00:00;2,95;0,07;0,08;73,94;41,98;31,96;
31-01-2019 04:00:00;31-01-2019 05:00:00;2,86;0,07;0,08;73,18;41,3;31,89;
31-01-2019 03:00:00;31-01-2019 04:00:00;2;0,07;0,08;72,6;41,01;31,59;
31-01-2019 02:00:00;31-01-2019 03:00:00;3,31;0,07;0,07;71,7;40,59;31,11;
31-01-2019 01:00:00;31-01-2019 02:00:00;2,69;0,07;0,07;71,32;40,53;30,79;
31-01-2019 00:00:00;31-01-2019 01:00:00;3;0,07;0,08;71,01;40,26;30,75;
30-01-2019 23:00:00;31-01-2019 00:00:00;2,2;0,07;0,07;69,72;38,29;31,43;
30-01-2019 22:00:00;30-01-2019 23:00:00;1,97;0,06;0,07;69,31;37,25;32,06;
30-01-2019 21:00:00;30-01-2019 22:00:00;2,02;0,06;0,06;69,57;36,66;32,91;
30-01-2019 20:00:00;30-01-2019 21:00:00;2,81;0,06;0,07;69,86;36,22;33,64;
30-01-2019 19:00:00;30-01-2019 20:00:00;2,33;0,06;0,06;70,57;34,53;36,04;
30-01-2019 18:00:00;30-01-2019 19:00:00;2,33;0,05;0,06;73,02;34,77;38,25;
30-01-2019 17:00:00;30-01-2019 18:00:00;2,33;0,05;0,06;73,02;34,77;38,25;
30-01-2019 16:00:00;30-01-2019 17:00:00;3;0,05;0,06;73,02;34,77;38,25;
30-01-2019 15:00:00;30-01-2019 16:00:00;2,36;0,05;0,05;72,35;33,48;38,87;
30-01-2019 14:00:00;30-01-2019 15:00:00;2,36;0,05;0,05;74,77;32,05;42,72;
30-01-2019 13:00:00;30-01-2019 14:00:00;2,36;0,05;0,05;74,77;32,05;42,72;
30-01-2019 12:00:00;30-01-2019 13:00:00;2,12;0,05;0,05;74,77;32,05;42,72;
30-01-2019 11:00:00;30-01-2019 12:00:00;2,9;0,07;0,06;76,06;34,13;41,93;
30-01-2019 10:00:00;30-01-2019 11:00:00;2,95;0,05;0,06;76,48;36,51;39,97;
30-01-2019 09:00:00;30-01-2019 10:00:00;2,95;0,06;0,07;77,65;37,88;39,77;
