StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;2;0,04;0,04;73,67;28,2;45,48;
31-01-2019 05:00:00;31-01-2019 06:00:00;2,94;0,04;0,05;73,02;28,19;44,83;
31-01-2019 04:00:00;31-01-2019 05:00:00;1,97;0,04;0,04;72,03;28,18;43,85;
31-01-2019 03:00:00;31-01-2019 04:00:00;2;0,04;0,04;71,65;28,2;43,45;
31-01-2019 02:00:00;31-01-2019 03:00:00;2,1;0,04;0,04;70,55;28,22;42,33;
31-01-2019 01:00:00;31-01-2019 02:00:00;1,79;0,04;0,04;70,14;28,24;41,9;
31-01-2019 00:00:00;31-01-2019 01:00:00;2,14;0,04;0,04;70,1;28,28;41,82;
30-01-2019 23:00:00;31-01-2019 00:00:00;2,14;0,04;0,05;69,46;28,31;41,15;
30-01-2019 22:00:00;30-01-2019 23:00:00;2,83;0,04;0,05;69,15;28,32;40,84;
30-01-2019 21:00:00;30-01-2019 22:00:00;2,17;0,05;0,05;70,1;28,27;41,84;
30-01-2019 20:00:00;30-01-2019 21:00:00;2,82;0,05;0,06;70,74;28,18;42,56;
30-01-2019 19:00:00;30-01-2019 20:00:00;3;0,05;0,05;71,41;28,08;43,33;
30-01-2019 18:00:00;30-01-2019 19:00:00;2,9;0,05;0,07;72;28;44,01;
30-01-2019 17:00:00;30-01-2019 18:00:00;3;0,06;0,06;73;27,88;45,12;
30-01-2019 16:00:00;30-01-2019 17:00:00;2;0,05;0,04;74,35;28,25;46,1;
30-01-2019 15:00:00;30-01-2019 16:00:00;2,03;0,04;0,04;73,07;28,45;44,62;
30-01-2019 14:00:00;30-01-2019 15:00:00;2,09;0,03;0,04;73,05;28,47;44,58;
30-01-2019 13:00:00;30-01-2019 14:00:00;1,93;0,04;0,04;72,36;28,49;43,87;
30-01-2019 12:00:00;30-01-2019 13:00:00;2,06;0,04;0,04;76,15;28,52;47,63;
30-01-2019 11:00:00;30-01-2019 12:00:00;2,06;0,04;0,04;76,15;28,52;47,63;
30-01-2019 10:00:00;30-01-2019 11:00:00;2,06;0,04;0,04;76,15;28,52;47,63;
30-01-2019 09:00:00;30-01-2019 10:00:00;2,77;0,04;0,04;76,15;28,52;47,63;
30-01-2019 08:00:00;30-01-2019 09:00:00;2,1;0,04;0,04;76,27;28,45;47,82;
30-01-2019 07:00:00;30-01-2019 08:00:00;2;0,04;0,04;75,93;28,5;47,43;
30-01-2019 06:00:00;30-01-2019 07:00:00;2,08;0,04;0,04;75,26;28,49;46,77;
30-01-2019 05:00:00;30-01-2019 06:00:00;2,81;0,04;0,05;75,87;28,5;47,38;
30-01-2019 04:00:00;30-01-2019 05:00:00;2,24;0,04;0,04;75,02;28,47;46,55;
30-01-2019 03:00:00;30-01-2019 04:00:00;2,41;0,04;0,05;75,14;28,43;46,71;
30-01-2019 02:00:00;30-01-2019 03:00:00;2,65;0,05;0,05;75,54;28,16;47,39;
30-01-2019 01:00:00;30-01-2019 02:00:00;3,06;0,05;0,05;75,54;28,16;47,39;
30-01-2019 00:00:00;30-01-2019 01:00:00;2,74;0,05;0,06;73,19;28,04;45,15;
29-01-2019 23:00:00;30-01-2019 00:00:00;3,1;0,06;0,07;73,7;27,83;45,87;
29-01-2019 22:00:00;29-01-2019 23:00:00;4;0,06;0,06;73,7;27,83;45,87;
29-01-2019 21:00:00;29-01-2019 22:00:00;2,97;0,06;0,06;75,71;27,75;47,95;
29-01-2019 20:00:00;29-01-2019 21:00:00;2,06;0,05;0,04;75,21;28,26;46,95;
29-01-2019 19:00:00;29-01-2019 20:00:00;1,97;0,04;0,04;76,17;28,29;47,88;
29-01-2019 18:00:00;29-01-2019 19:00:00;2,96;0,03;0,04;76,14;28,25;47,89;
29-01-2019 17:00:00;29-01-2019 18:00:00;1,85;0,04;0,05;76,43;28,28;48,15;
29-01-2019 16:00:00;29-01-2019 17:00:00;2,21;0,04;0,04;75,76;28,28;47,48;
29-01-2019 15:00:00;29-01-2019 16:00:00;1,82;0,03;0,05;75,92;28,27;47,66;
29-01-2019 14:00:00;29-01-2019 15:00:00;2,02;0,04;0,04;75,84;28,31;47,53;
29-01-2019 13:00:00;29-01-2019 14:00:00;3,02;0,04;0,04;75,81;28,23;47,58;
29-01-2019 12:00:00;29-01-2019 13:00:00;2,11;0,04;0,04;76,59;28,26;48,33;
29-01-2019 11:00:00;29-01-2019 12:00:00;2,13;0,04;0,04;76,98;28,1;48,88;
29-01-2019 10:00:00;29-01-2019 11:00:00;3,12;0,03;0,06;76,81;27,87;48,94;
29-01-2019 09:00:00;29-01-2019 10:00:00;3,72;0,05;0,06;77,2;28,41;48,79;
29-01-2019 08:00:00;29-01-2019 09:00:00;2,99;0,14;0,04;77,65;29,56;48,08;
29-01-2019 07:00:00;29-01-2019 08:00:00;2,86;0,04;0,05;76,8;28,45;48,35;
29-01-2019 06:00:00;29-01-2019 07:00:00;2;0,04;0,04;78,02;28,44;49,58;
29-01-2019 05:00:00;29-01-2019 06:00:00;0;0,05;0;77,5;28,36;49,14;
29-01-2019 04:00:00;29-01-2019 05:00:00;6;0,05;0,12;77,55;28,11;49,44;
29-01-2019 03:00:00;29-01-2019 04:00:00;3;0,05;0,05;77,55;28,11;49,44;
29-01-2019 02:00:00;29-01-2019 03:00:00;4;0,06;0,08;74,69;27,91;46,78;
29-01-2019 01:00:00;29-01-2019 02:00:00;0;0,06;0;77,14;27,73;49,41;
29-01-2019 00:00:00;29-01-2019 01:00:00;6,33;0,06;0,11;74,84;27,59;47,25;
28-01-2019 23:00:00;29-01-2019 00:00:00;2,87;0,06;0,06;74,84;27,59;47,25;
28-01-2019 22:00:00;28-01-2019 23:00:00;2,01;0,04;0,04;73,3;28,05;45,25;
28-01-2019 21:00:00;28-01-2019 22:00:00;1,84;0,04;0,05;72,76;28,04;44,72;
28-01-2019 20:00:00;28-01-2019 21:00:00;3,17;0,04;0,05;74,65;28,25;46,4;
28-01-2019 19:00:00;28-01-2019 20:00:00;1,95;0,04;0,04;72,36;27,91;44,45;
28-01-2019 18:00:00;28-01-2019 19:00:00;2,07;0,04;0,05;72,88;28,04;44,84;
28-01-2019 17:00:00;28-01-2019 18:00:00;2,95;0,03;0,04;73,03;28,08;44,95;
28-01-2019 16:00:00;28-01-2019 17:00:00;1,95;0,03;0,04;72,5;28,29;44,2;
28-01-2019 15:00:00;28-01-2019 16:00:00;2,09;0,03;0,04;74,19;28,44;45,75;
28-01-2019 14:00:00;28-01-2019 15:00:00;2,1;0,03;0,03;75,91;28,45;47,46;
28-01-2019 13:00:00;28-01-2019 14:00:00;2,84;0,03;0,06;77,01;28,35;48,66;
28-01-2019 12:00:00;28-01-2019 13:00:00;1,99;0,04;0,05;76,95;28,48;48,47;
28-01-2019 11:00:00;28-01-2019 12:00:00;3,16;0,04;0,04;77,85;28,38;49,47;
28-01-2019 10:00:00;28-01-2019 11:00:00;2,73;0,05;0,05;76,53;28,23;48,3;
28-01-2019 09:00:00;28-01-2019 10:00:00;3,08;0,05;0,05;74,15;28,1;46,06;
28-01-2019 08:00:00;28-01-2019 09:00:00;3,87;0,05;0,07;77,43;27,87;49,56;
