StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
31-01-2019 06:00:00;31-01-2019 07:00:00;2,05;0,09;0,06;66,93;26,06;40,87;
31-01-2019 05:00:00;31-01-2019 06:00:00;2,95;0,08;0,06;66,41;26,57;39,83;
31-01-2019 04:00:00;31-01-2019 05:00:00;2,03;0,08;0,05;65,58;26,69;38,89;
31-01-2019 03:00:00;31-01-2019 04:00:00;1,97;0,1;0,06;67,33;26,94;40,39;
31-01-2019 02:00:00;31-01-2019 03:00:00;3,1;0,06;0,06;66;29,42;36,58;
31-01-2019 01:00:00;31-01-2019 02:00:00;2,9;0,03;0,07;63,86;31,29;32,57;
31-01-2019 00:00:00;31-01-2019 01:00:00;2;0,02;0,06;61,75;32,35;29,4;
30-01-2019 23:00:00;31-01-2019 00:00:00;3;0,02;0,07;61,14;32,64;28,5;
30-01-2019 22:00:00;30-01-2019 23:00:00;3,03;0,02;0,07;60,63;33,04;27,59;
30-01-2019 21:00:00;30-01-2019 22:00:00;2,06;0,03;0,05;63,73;33,2;30,54;
30-01-2019 20:00:00;30-01-2019 21:00:00;2,9;0,07;0,07;63,96;28,75;35,21;
30-01-2019 19:00:00;30-01-2019 20:00:00;2,13;0,11;0,06;66,66;28,62;38,04;
30-01-2019 18:00:00;30-01-2019 19:00:00;3,92;0,09;0,11;70,41;36,32;34,09;
30-01-2019 17:00:00;30-01-2019 18:00:00;3;0,12;0,08;68,45;40,59;27,85;
30-01-2019 16:00:00;30-01-2019 17:00:00;2,95;0,03;0,07;66,4;32,92;33,48;
30-01-2019 15:00:00;30-01-2019 16:00:00;2,5;0,07;0,06;68,95;28,33;40,62;
30-01-2019 14:00:00;30-01-2019 15:00:00;2,5;0,02;0,06;65,19;33,61;31,58;
30-01-2019 13:00:00;30-01-2019 14:00:00;3;0,02;0,07;65,19;33,61;31,58;
30-01-2019 12:00:00;30-01-2019 13:00:00;1;0,04;0,03;64,14;29,72;34,42;
30-01-2019 11:00:00;30-01-2019 12:00:00;2;0,04;0,04;65,07;29,5;35,57;
30-01-2019 10:00:00;30-01-2019 11:00:00;2;0,04;0,06;65,18;29,96;35,22;
30-01-2019 09:00:00;30-01-2019 10:00:00;3;0,03;0,05;62,28;30,42;31,86;
30-01-2019 08:00:00;30-01-2019 09:00:00;2,03;0,06;0,05;64,24;28,29;35,95;
30-01-2019 07:00:00;30-01-2019 08:00:00;1,97;0,09;0,07;68,02;28,54;39,48;
30-01-2019 06:00:00;30-01-2019 07:00:00;3;0,07;0,06;68,04;30,49;37,55;
30-01-2019 05:00:00;30-01-2019 06:00:00;3,03;0,06;0,06;68,04;29,34;38,7;
30-01-2019 04:00:00;30-01-2019 05:00:00;1,97;0,04;0,07;66,45;30,75;35,7;
30-01-2019 03:00:00;30-01-2019 04:00:00;3,02;0,02;0,07;64,86;32,46;32,4;
30-01-2019 02:00:00;30-01-2019 03:00:00;3,02;0,03;0,07;61,1;33,07;28,03;
30-01-2019 01:00:00;30-01-2019 02:00:00;2,95;0,03;0,07;61,1;33,07;28,03;
30-01-2019 00:00:00;30-01-2019 01:00:00;2,5;0,03;0,06;61,47;33,04;28,43;
29-01-2019 23:00:00;30-01-2019 00:00:00;2,5;0,04;0,06;62,24;30,58;31,66;
29-01-2019 22:00:00;29-01-2019 23:00:00;3;0,04;0,07;62,24;30,58;31,66;
29-01-2019 21:00:00;29-01-2019 22:00:00;2,05;0,06;0,05;62,76;28,83;33,93;
29-01-2019 20:00:00;29-01-2019 21:00:00;2,95;0,12;0,08;71,88;37,21;34,67;
29-01-2019 19:00:00;29-01-2019 20:00:00;3;0,12;0,06;67,47;27,66;39,81;
29-01-2019 18:00:00;29-01-2019 19:00:00;4;0,08;0,09;70,49;30,89;39,6;
29-01-2019 17:00:00;29-01-2019 18:00:00;2,05;0,11;0,05;67,99;28,61;39,38;
29-01-2019 16:00:00;29-01-2019 17:00:00;2,95;0,11;0,07;72,63;29,39;43,24;
29-01-2019 15:00:00;29-01-2019 16:00:00;2;0,08;0,06;69,57;27,18;42,39;
