StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
11/01/2019 08.00	372.476.190.476.191	9,52E+07	00.08	652.061.904.761.905	279.585.714.285.714	0
11/01/2019 07.00	37.04.00	799.999.899.999.966	00.08	65.33.00	27.93	00.02
11/01/2019 06.00	37.04.00	419.047.619.047.342	00.08	65.33.00	27.93	00.08
11/01/2019 05.00	373.252.380.952.381	380.952.380.952.658	00.08	652.514.285.714.286	279.261.904.761.905	00.01
11/01/2019 04.00	37.23.00	406.557.377.049.467	00.08	65.08.00	27.85	00.09
11/01/2019 03.00	369.962.295.081.967	393.442.622.950.533	00.08	647.767.213.114.754	277.804.918.032.787	00.01
11/01/2019 02.00	37.37.00	33.125	00.09	65.18.00	27.81	00.01
11/01/2019 01.00	38.464.375	46.875	00.08	66.521.875	280.575	00.09
11/01/2019 00.00	37.78	04.25	00.08	65.08.00	28.02.00	00.01
10/01/2019 23.00	38.485	0,177083333	00.08	6.669.375	2.820.875	00.09
10/01/2019 22.00	40.81	4	00.08	68.07.00	27.89	00.08
10/01/2019 21.00	37.06.00	448.295.454.545.587	00.08	65.63	28.03.00	00.12
10/01/2019 20.00	394.376.136.363.636	482.954.545.454.413	00.08	676.003.977.272.727	281.627.840.909.091	00.09
10/01/2019 19.00	4.071.375	46.875	00.08	69.204.375	28.490.625	00.11
10/01/2019 18.00	41.22.00	416.129.032.258.323	00.08	69.57.00	28.35.00	00.09
10/01/2019 17.00	423.606.451.612.903	483.870.967.741.677	00.08	705.254.838.709.677	281.648.387.096.774	00.01
10/01/2019 16.00	42.08.00	0.00000100000033853576	00.08	70.69	28.61	0
10/01/2019 15.00	446.488.888.888.889	855.555.455.555.441	00.08	735.388.888.888.889	28.89	00.17
10/01/2019 14.00	446.488.888.888.889	471.030.643.076.665	00.08	735.388.888.888.889	28.89	00.09
10/01/2019 13.00	461.883.921.417.124	398.792.979.481.368	00.08	751.637.483.545.101	289.753.562.127.976	00.09
10/01/2019 12.00	45.41.00	05.08	00.08	75.67	30.26.00	00.09
10/01/2019 11.00	45.09.00	0,231944444	00.08	74.67	28.77	00.09
10/01/2019 10.00	44.07.00	04.11	00.08	73.31.00	28.62	00.09
10/01/2019 09.00	44.49.00	0,209722222	00.09	73.03.00	28.54.00	00.09
10/01/2019 08.00	43.99	0	00.09	72.41.00	28.42.00	0
10/01/2019 07.00	41.01.00	10.54	00.09	69.27.00	28.25.00	00.21
10/01/2019 06.00	41.01.00	0,213194444	00.09	69.27.00	28.25.00	00.01
