StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;5,35249255952294;0,11;0,12;79,78;38,64;41,14;
29-01-2019 06:00:00;29-01-2019 07:00:00;7,04985119047706;0,11;0,14;79,8857607886905;38,3719810267857;41,5137797619048;
29-01-2019 05:00:00;29-01-2019 06:00:00;6,03515625;0,11;0,12;79,8009765625;38,4116015625;41,389375;
29-01-2019 04:00:00;29-01-2019 05:00:00;6,5625;0,12;0,14;80,115625;38,285625;41,83;
29-01-2019 03:00:00;29-01-2019 04:00:00;6;0,13;0,13;80,05;38,22;41,83;
29-01-2019 02:00:00;29-01-2019 03:00:00;1,00000033853576E-06;0,13;0;79,89;38,11;41,78;
29-01-2019 01:00:00;29-01-2019 02:00:00;10,9999989999997;0,11;0,25;79,08;38,33;40,75;
29-01-2019 00:00:00;29-01-2019 01:00:00;6;0,11;0,12;79,08;38,33;40,75;
28-01-2019 23:00:00;29-01-2019 00:00:00;5,23100936524497;0,12;0,11;78,19;38,08;40,11;
28-01-2019 22:00:00;28-01-2019 23:00:00;6,93028095733462;0,12;0,15;77,9195837669095;37,4206555671176;40,4989281997919;
28-01-2019 21:00:00;28-01-2019 22:00:00;4,83870967742041;0,11;0,12;77,0070967741936;38,3403225806452;38,6667741935484;
28-01-2019 20:00:00;28-01-2019 21:00:00;5,46153846153902;0,11;0,1;76,02;38,05;37,97;
28-01-2019 19:00:00;28-01-2019 20:00:00;5,53846153846098;0,09;0,15;75,9430769230769;38,2338461538462;37,7092307692308;
28-01-2019 18:00:00;28-01-2019 19:00:00;8,0000000476175;0,12;0,16;75,38;37,92;37,46;
28-01-2019 17:00:00;28-01-2019 18:00:00;9,52382833929732E-07;0,14;0;76,7842857142857;37,927619047619;38,8566666666667;
28-01-2019 16:00:00;28-01-2019 17:00:00;12,9999989999997;0,15;0,3;78,07;37,08;40,99;
28-01-2019 15:00:00;28-01-2019 16:00:00;7;0,15;0,15;78,07;37,08;40,99;
28-01-2019 14:00:00;28-01-2019 15:00:00;4,28571428571377;0,11;0,11;77,81;38,28;39,53;
28-01-2019 13:00:00;28-01-2019 14:00:00;5,71428571428623;0,11;0,11;78,4957142857143;38,3014285714286;40,1942857142857;
