StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;5;0,07;0,08;80,15;36,11;44,04;
29-01-2019 06:00:00;29-01-2019 07:00:00;4,07221243734966;0,08;0,09;80,25;32,23;48,02;
29-01-2019 05:00:00;29-01-2019 06:00:00;4,33274624097248;0,09;0,09;78,9320703886278;37,2058823590716;41,7261880295561;
29-01-2019 04:00:00;29-01-2019 05:00:00;4,04958678321782;0,08;0,08;80,2562937062937;36,3588239033694;43,8974698029243;
29-01-2019 03:00:00;29-01-2019 04:00:00;4,54545461538146;0,08;0,09;79,8192307692308;34,5470629370629;45,2721678321678;
29-01-2019 02:00:00;29-01-2019 03:00:00;9,23078914638609E-07;0,1;0;76,1115384615385;30,7176923076923;45,3938461538462;
29-01-2019 01:00:00;29-01-2019 02:00:00;7,99999899999966;0,03;0,14;75,65;26,73;48,92;
29-01-2019 00:00:00;29-01-2019 01:00:00;4;0,03;0,08;75,65;26,73;48,92;
28-01-2019 23:00:00;29-01-2019 00:00:00;1,00000033853576E-06;0,06;0;76,32;28,28;48,04;
28-01-2019 22:00:00;28-01-2019 23:00:00;4,99999899999966;0,03;0,11;74,04;33,02;41,02;
28-01-2019 21:00:00;28-01-2019 22:00:00;3;0,03;0,06;74,04;33,02;41,02;
28-01-2019 20:00:00;28-01-2019 21:00:00;3;0,03;0,05;73,77;30,65;43,12;
28-01-2019 19:00:00;28-01-2019 20:00:00;3;0,11;0,06;76,18;29,79;46,39;
28-01-2019 18:00:00;28-01-2019 19:00:00;3;0,04;0,06;75,76;31,32;44,44;
28-01-2019 17:00:00;28-01-2019 18:00:00;2;0,06;0,04;76,59;28,79;47,8;
28-01-2019 16:00:00;28-01-2019 17:00:00;3;0,03;0,07;75,85;29,01;46,84;
28-01-2019 15:00:00;28-01-2019 16:00:00;4;0,02;0,06;79,27;30,84;48,43;
28-01-2019 14:00:00;28-01-2019 15:00:00;3,19562955254878;0,14;0,07;80,81;31,16;49,65;
28-01-2019 13:00:00;28-01-2019 14:00:00;5,86888657648524;0,08;0,12;80,1789594172737;36,4883454734651;43,6906139438085;
28-01-2019 12:00:00;28-01-2019 13:00:00;1,93548387096598;0,04;0,04;79,5477419354839;29,5387096774194;50,0090322580645;
28-01-2019 11:00:00;28-01-2019 12:00:00;4,06557377049103;0,08;0,07;80,38;31,6;48,78;
28-01-2019 10:00:00;28-01-2019 11:00:00;3,93442622950897;0,06;0,08;78,5804918032787;29,4027868852459;49,1777049180328;
28-01-2019 09:00:00;28-01-2019 10:00:00;3,25;0,07;0,06;76,81;33,77;43,04;
28-01-2019 08:00:00;28-01-2019 09:00:00;3,75;0,05;0,08;79,981875;32,59375;47,388125;
28-01-2019 07:00:00;28-01-2019 08:00:00;4,14676034348304;0,06;0,08;80,01;30,4;49,61;
28-01-2019 06:00:00;28-01-2019 07:00:00;2,93520686963166;0,09;0,06;77,3994691647151;33,230218579235;44,1692505854801;
28-01-2019 05:00:00;28-01-2019 06:00:00;4,91803278688531;0,06;0,08;76,7888524590164;36,0345901639344;40,754262295082;
28-01-2019 04:00:00;28-01-2019 05:00:00;3,19047619047706;0,07;0,07;76,12;29,71;46,41;
28-01-2019 03:00:00;28-01-2019 04:00:00;3,80952380952294;0,08;0,08;75,8333333333333;29,8142857142857;46,0190476190476;
28-01-2019 02:00:00;28-01-2019 03:00:00;4,00000001639273;0,05;0,08;74,9;31,9;43;
28-01-2019 01:00:00;28-01-2019 02:00:00;9,83607606031001E-07;0,09;0;75,055737704918;30,6029508196721;44,4527868852459;
28-01-2019 00:00:00;28-01-2019 01:00:00;7,99999899999966;0,04;0,16;73,6;34,98;38,62;
