StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;13,3333333333285;0,16;0,2;82,7004761904762;22,1190476190476;60,5814285714286;
29-01-2019 06:00:00;29-01-2019 07:00:00;12,3225806451665;0,31;0,19;83,11;24,1;59,01;
29-01-2019 05:00:00;29-01-2019 06:00:00;9,67741935483355;0,13;0,15;81,4232258064516;22,1993548387097;59,2238709677419;
29-01-2019 04:00:00;29-01-2019 05:00:00;13;0,25;0,19;83,02;23,68;59,34;
29-01-2019 03:00:00;29-01-2019 04:00:00;9,99993062578142E-07;0,17;0;79,29;22,6;56,69;
29-01-2019 02:00:00;29-01-2019 03:00:00;12,9999995000107;0,14;0,2;79,55;31,83;47,72;
29-01-2019 01:00:00;29-01-2019 02:00:00;12,9999994999962;0,14;0,2;79,55;31,83;47,72;
29-01-2019 00:00:00;29-01-2019 01:00:00;8,32742672365566;0,14;0,15;79,55;31,83;47,72;
28-01-2019 23:00:00;29-01-2019 00:00:00;9,82280170956801;0,17;0,16;79,2808605907188;22,0236760842992;57,2571845064195;
28-01-2019 22:00:00;28-01-2019 23:00:00;9,01370599301299;0,14;0,15;79,0066783122816;21,833958613276;57,1727196990056;
28-01-2019 21:00:00;28-01-2019 22:00:00;9,83606557376334;0,15;0,17;78,2073770491803;21,4714754098361;56,7359016393443;
28-01-2019 20:00:00;28-01-2019 21:00:00;10,1693093254435;0,11;0,17;77,45;23,96;53,49;
28-01-2019 19:00:00;28-01-2019 20:00:00;10,1585595270153;0,13;0,16;78,1826149751628;22,5081304886824;55,6744844864804;
28-01-2019 18:00:00;28-01-2019 19:00:00;9,83606557377789;0,15;0,16;78,9395134849286;22,9959598096245;55,9435536753041;
28-01-2019 17:00:00;28-01-2019 18:00:00;9,83606557376334;0,22;0,17;79,5249180327869;24,0747540983607;55,4501639344262;
28-01-2019 16:00:00;28-01-2019 17:00:00;10;0,27;0,15;79,82;24,36;55,46;
28-01-2019 15:00:00;28-01-2019 16:00:00;9;0,13;0,14;82,95;30,67;52,28;
28-01-2019 14:00:00;28-01-2019 15:00:00;9;0,14;0,13;82,81;22,1;60,71;
28-01-2019 13:00:00;28-01-2019 14:00:00;13,0000000164;0,15;0,19;82,89;28,1;54,79;
28-01-2019 12:00:00;28-01-2019 13:00:00;0;0,11;0;82,6;22,74;59,86;
28-01-2019 11:00:00;28-01-2019 12:00:00;20,35;0,11;0,32;81,97;23,65;58,32;
28-01-2019 10:00:00;28-01-2019 11:00:00;10,65;0,11;0,15;81,97;23,65;58,32;
28-01-2019 09:00:00;28-01-2019 10:00:00;9,18;0,13;0,15;82,51;22,84;59,67;
28-01-2019 08:00:00;28-01-2019 09:00:00;10,82;0,11;0,16;82,68;23,06;59,61;
28-01-2019 07:00:00;28-01-2019 08:00:00;9;0,12;0,15;82,51;23,3;59,21;
28-01-2019 06:00:00;28-01-2019 07:00:00;12;0,13;0,19;79,51;34,57;44,94;
28-01-2019 05:00:00;28-01-2019 06:00:00;9,33;0,12;0,16;79,24;23,21;56,03;
28-01-2019 04:00:00;28-01-2019 05:00:00;9,99;0,15;0,15;78,82;23,13;55,68;
