StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;9,53586065573472;0,2;0,18;83,6;41,24;42,36;
29-01-2019 06:00:00;29-01-2019 07:00:00;8,03790983607178;0,19;0,18;83,4183984375;41,4240394467213;41,9943589907787;
29-01-2019 05:00:00;29-01-2019 06:00:00;8,60655737704656;0,18;0,17;83,244375;41,484631147541;41,759743852459;
29-01-2019 04:00:00;29-01-2019 05:00:00;10,8196721311469;0,19;0,24;83,46;41,1040983606557;42,3559016393443;
29-01-2019 03:00:00;29-01-2019 04:00:00;1,00000033853576E-06;0,17;0;82,26;40,75;41,51;
29-01-2019 02:00:00;29-01-2019 03:00:00;10,5737699918027;0,21;0,24;83,52;41,956393442623;41,563606557377;
29-01-2019 01:00:00;29-01-2019 02:00:00;10,5737699918027;0,21;0,24;83,52;41,956393442623;41,563606557377;
29-01-2019 00:00:00;29-01-2019 01:00:00;8,85245901639428;0,21;0,2;83,52;41,956393442623;41,563606557377;
28-01-2019 23:00:00;29-01-2019 00:00:00;8,19672131147672;0,16;0,17;79,92;41,74;38,18;
28-01-2019 22:00:00;28-01-2019 23:00:00;11,8032786885233;0,21;0,24;79,8944262295082;41,6329508196721;38,2614754098361;
28-01-2019 21:00:00;28-01-2019 22:00:00;7,26847034339153;0,16;0,19;78,96;41,21;37,75;
28-01-2019 20:00:00;28-01-2019 21:00:00;8,05411030176765;0,15;0,2;78,2890426638918;43,3968574401665;34,8921852237253;
28-01-2019 19:00:00;28-01-2019 20:00:00;9,67741935484082;0,31;0,26;79,1603225806452;34,3025806451613;44,8577419354839;
28-01-2019 18:00:00;28-01-2019 19:00:00;21;0,35;0,4;80,07;58,08;21,99;
28-01-2019 17:00:00;28-01-2019 18:00:00;9,13114754098206;0,15;0,2;80;42,49;37,51;
28-01-2019 16:00:00;28-01-2019 17:00:00;7,86885245901794;0,15;0,18;79,4503278688525;40,085737704918;39,3645901639344;
28-01-2019 15:00:00;28-01-2019 16:00:00;8,36923076923267;0,13;0,17;81,87;42,23;39,64;
28-01-2019 14:00:00;28-01-2019 15:00:00;7,38461538461706;0,13;0,18;83,33;41,9383076923077;41,3916923076923;
28-01-2019 13:00:00;28-01-2019 14:00:00;9,24615384615026;0,15;0,18;83,33;40,9044615384615;42,4255384615385;
28-01-2019 12:00:00;28-01-2019 13:00:00;7,36051045728527;0,15;0,16;83,45;40,73;42,72;
28-01-2019 11:00:00;28-01-2019 12:00:00;7,2102091456909;0,15;0,17;82,9724861160345;38,9021564457048;44,0703296703297;
28-01-2019 10:00:00;28-01-2019 11:00:00;6,84863523573586;0,13;0,16;79,6222084367246;40,7452853598015;38,8769230769231;
28-01-2019 09:00:00;28-01-2019 10:00:00;12,580645161288;0,12;0,25;82,7687096774194;45,0087096774194;37,76;
28-01-2019 08:00:00;28-01-2019 09:00:00;8;0,14;0,17;83,33;43,17;40,16;
28-01-2019 07:00:00;28-01-2019 08:00:00;8;0,14;0,18;83,24;43,01;40,23;
28-01-2019 06:00:00;28-01-2019 07:00:00;7;0,15;0,17;80,3;42,84;37,46;
28-01-2019 05:00:00;28-01-2019 06:00:00;7;0,16;0,18;80,01;43,09;36,92;
28-01-2019 04:00:00;28-01-2019 05:00:00;8;0,16;0,18;79,51;42,62;36,89;
28-01-2019 03:00:00;28-01-2019 04:00:00;7;0,17;0,19;78,96;41,32;37,64;
28-01-2019 02:00:00;28-01-2019 03:00:00;8;0,15;0,18;78,33;42,46;35,87;
28-01-2019 01:00:00;28-01-2019 02:00:00;8;0,16;0,22;78,22;43,17;35,05;
28-01-2019 00:00:00;28-01-2019 01:00:00;1,00000033853576E-06;0,2;0;77;44,64;32,36;
27-01-2019 23:00:00;28-01-2019 00:00:00;16,1168870135734;0,16;0,41;77,6949477150662;43,4738185048956;34,2211292101706;
27-01-2019 22:00:00;27-01-2019 23:00:00;7,01328081441898;0,16;0,19;77,6949477150662;43,4738185048956;34,2211292101706;
27-01-2019 21:00:00;27-01-2019 22:00:00;7,81012967947026;0,16;0,19;75,591810619036;43,7029287986298;31,8888818204062;
27-01-2019 20:00:00;27-01-2019 21:00:00;8,05970149253699;0,18;0,21;76,300447761194;42,0786567164179;34,2217910447761;
27-01-2019 19:00:00;27-01-2019 20:00:00;8,13114754098206;0,22;0,2;76,99;42,41;34,58;
27-01-2019 18:00:00;27-01-2019 19:00:00;7,86885245901794;0,22;0,22;76,8645901639344;42,8349180327869;34,0296721311475;
27-01-2019 17:00:00;27-01-2019 18:00:00;8,76923076923413;0,23;0,21;77,14;42,53;34,61;
27-01-2019 16:00:00;27-01-2019 17:00:00;9,23076923076587;0,21;0,22;77,53;42,6138461538462;34,9161538461538;
