StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;2,95081967213082;0,03;0,05;78,6924590163934;19,6918032786885;59,0006557377049;
29-01-2019 06:00:00;29-01-2019 07:00:00;3,06912442396242;0,03;0,04;78,24;19,2;59,04;
29-01-2019 05:00:00;29-01-2019 06:00:00;2,07373271889446;0,04;0,03;77,5317357910906;19,9801382488479;57,5515975422427;
29-01-2019 04:00:00;29-01-2019 05:00:00;2,85714285714312;0,03;0,05;78,1838095238095;19,6842857142857;58,4995238095238;
29-01-2019 03:00:00;29-01-2019 04:00:00;3;0,03;0,04;75,06;19,37;55,69;
29-01-2019 02:00:00;29-01-2019 03:00:00;1,00000033853576E-06;0,03;0;75,6;18,89;56,71;
29-01-2019 01:00:00;29-01-2019 02:00:00;4,99999899999966;0,02;0,08;74,21;19,07;55,14;
29-01-2019 00:00:00;29-01-2019 01:00:00;2,04918032786918;0,02;0,04;74,21;19,07;55,14;
28-01-2019 23:00:00;29-01-2019 00:00:00;2,95081967213082;0,03;0,03;74,3549180327869;18,6968852459016;55,6580327868852;
28-01-2019 22:00:00;28-01-2019 23:00:00;1,04918032786918;0,04;0,03;75,85;21,51;54,34;
28-01-2019 21:00:00;28-01-2019 22:00:00;2,95081967213082;0,02;0,04;73,6070491803279;18,9180327868852;54,6890163934426;
28-01-2019 20:00:00;28-01-2019 21:00:00;2;0,02;0,04;73,43;18,8;54,63;
28-01-2019 19:00:00;28-01-2019 20:00:00;2;0,04;0,03;74,99;19,71;55,28;
28-01-2019 18:00:00;28-01-2019 19:00:00;3;0,05;0,04;76,25;20,23;56,02;
28-01-2019 17:00:00;28-01-2019 18:00:00;3;0,04;0,05;75,58;19,54;56,04;
28-01-2019 16:00:00;28-01-2019 17:00:00;3;0,03;0,05;75,61;19,08;56,53;
28-01-2019 15:00:00;28-01-2019 16:00:00;2;0,03;0,04;79,24;19,37;59,87;
28-01-2019 14:00:00;28-01-2019 15:00:00;2,95000000000073;0,05;0,04;79,76;20,64;59,12;
28-01-2019 13:00:00;28-01-2019 14:00:00;3,04999999999927;0,03;0,04;78,3735;19,7746666666667;58,5988333333333;
28-01-2019 12:00:00;28-01-2019 13:00:00;3;0,03;0,04;79,04;19,74;59,3;
28-01-2019 11:00:00;28-01-2019 12:00:00;3;0,03;0,05;77,55;19,7;57,85;
28-01-2019 10:00:00;28-01-2019 11:00:00;2;0,05;0,04;78,61;20,2;58,41;
28-01-2019 09:00:00;28-01-2019 10:00:00;4;0,04;0,05;78,67;19,91;58,76;
28-01-2019 08:00:00;28-01-2019 09:00:00;3,04918032786918;0,04;0,04;79,29;19,67;59,62;
