StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;2,95081967213264;0,03;0,08;79,6285245901639;38,7927868852459;40,835737704918;
29-01-2019 06:00:00;29-01-2019 07:00:00;7;0,33;0,12;83,74;61,76;21,98;
29-01-2019 05:00:00;29-01-2019 06:00:00;4;0,02;0,06;79,85;28,88;50,97;
29-01-2019 04:00:00;29-01-2019 05:00:00;4;0,02;0,08;79,74;28,89;50,85;
29-01-2019 03:00:00;29-01-2019 04:00:00;3;0,02;0,06;76,16;30,09;46,07;
29-01-2019 02:00:00;29-01-2019 03:00:00;1,00000033853576E-06;0,03;0;78,85;29,07;49,78;
29-01-2019 01:00:00;29-01-2019 02:00:00;7,99999899999966;0,02;0,13;75,54;29,73;45,81;
29-01-2019 00:00:00;29-01-2019 01:00:00;3,00000003225796;0,02;0,05;75,54;29,73;45,81;
28-01-2019 23:00:00;29-01-2019 00:00:00;9,67742380453274E-07;0,03;0;75,6009677419355;29,5932258064516;46,0077419354839;
28-01-2019 22:00:00;28-01-2019 23:00:00;5,99999899999966;0,03;0,11;74,73;27,59;47,14;
28-01-2019 21:00:00;28-01-2019 22:00:00;3,00000003225796;0,03;0,06;74,73;27,59;47,14;
28-01-2019 20:00:00;28-01-2019 21:00:00;9,67742380453274E-07;0,03;0;74,6454838709677;30,3687096774194;44,2767741935484;
28-01-2019 19:00:00;28-01-2019 20:00:00;4,99999899999966;0,03;0,11;78,11;60,33;17,78;
28-01-2019 18:00:00;28-01-2019 19:00:00;6;0,03;0,13;78,11;60,33;17,78;
28-01-2019 17:00:00;28-01-2019 18:00:00;3;0,06;0,06;76,94;25,44;51,5;
28-01-2019 16:00:00;28-01-2019 17:00:00;4;0,02;0,06;79,12;25,67;53,45;
28-01-2019 15:00:00;28-01-2019 16:00:00;3,05172413793116;0,03;0,05;80,12;30,11;50,01;
28-01-2019 14:00:00;28-01-2019 15:00:00;3,04812225223941;0,04;0,04;79,643275862069;27,4560344827586;52,1872413793103;
28-01-2019 13:00:00;28-01-2019 14:00:00;1,99692780337864;0,15;0,04;80,3607219662058;26,6846697388633;53,6760522273426;
28-01-2019 12:00:00;28-01-2019 13:00:00;2,90322580645079;0,12;0,05;79,5751612903226;27,178064516129;52,3970967741936;
28-01-2019 11:00:00;28-01-2019 12:00:00;2;0,03;0,05;76,13;27,12;49,01;
28-01-2019 10:00:00;28-01-2019 11:00:00;4;0,02;0,05;79,18;28,16;51,02;
28-01-2019 09:00:00;28-01-2019 10:00:00;3,04918032786736;0,02;0,06;79,69;28,1;51,59;
28-01-2019 08:00:00;28-01-2019 09:00:00;2,95081967213264;0,02;0,05;79,2331147540984;29,1906557377049;50,0424590163934;
28-01-2019 07:00:00;28-01-2019 08:00:00;2,2580645161288;0,06;0,05;77,02;36,43;40,59;
28-01-2019 06:00:00;28-01-2019 07:00:00;7,7419354838712;0,02;0,17;76,8845161290322;54,0183870967742;22,8661290322581;
28-01-2019 05:00:00;28-01-2019 06:00:00;2,06451612903402;0,02;0,04;74,62;29,67;44,95;
28-01-2019 04:00:00;28-01-2019 05:00:00;1,93548387096598;0,12;0,04;75,7990322580645;28,9970967741935;46,801935483871;
28-01-2019 03:00:00;28-01-2019 04:00:00;3,06451612903402;0,02;0,05;73,97;29,81;44,16;
28-01-2019 02:00:00;28-01-2019 03:00:00;1,93548387096598;0,04;0,05;74,5467741935484;29,8748387096774;44,671935483871;
28-01-2019 01:00:00;28-01-2019 02:00:00;1,00000033853576E-06;0,02;0;73,85;28,82;45,03;
28-01-2019 00:00:00;28-01-2019 01:00:00;5,99999899999966;0,03;0,11;74,25;29,8;44,45;
27-01-2019 23:00:00;28-01-2019 00:00:00;3;0,03;0,06;74,25;29,8;44,45;
27-01-2019 22:00:00;27-01-2019 23:00:00;3;0,02;0,06;72,69;29,45;43,24;
27-01-2019 21:00:00;27-01-2019 22:00:00;4,25;0,02;0,08;73,09;26,58;46,51;
27-01-2019 20:00:00;27-01-2019 21:00:00;3,75;0,11;0,07;74,67625;29,875;44,80125;
27-01-2019 19:00:00;27-01-2019 20:00:00;3,19047619047706;0,08;0,06;74,62;26,8;47,82;
27-01-2019 18:00:00;27-01-2019 19:00:00;3,80952380952294;0,13;0,07;74,8452380952381;29,5447619047619;45,3004761904762;
27-01-2019 17:00:00;27-01-2019 18:00:00;3,19047619047706;0,03;0,06;74,15;28,24;45,91;
27-01-2019 16:00:00;27-01-2019 17:00:00;3,80952380952294;0,13;0,07;75,8352380952381;29,6266666666667;46,2085714285714;
27-01-2019 15:00:00;27-01-2019 16:00:00;3,1290322580644;0,03;0,06;75,74;27,76;47,98;
27-01-2019 14:00:00;27-01-2019 15:00:00;3,8709677419356;0,13;0,07;76,9767741935484;29,0854838709677;47,8912903225806;
27-01-2019 13:00:00;27-01-2019 14:00:00;3;0,04;0,07;76,58;34,65;41,93;
27-01-2019 12:00:00;27-01-2019 13:00:00;4;0,15;0,07;79,58;26,43;53,15;
27-01-2019 11:00:00;27-01-2019 12:00:00;3;0,02;0,07;74,98;29,63;45,35;
27-01-2019 10:00:00;27-01-2019 11:00:00;8;0,02;0,18;76,94;31,39;45,55;
27-01-2019 09:00:00;27-01-2019 10:00:00;4;0,05;0,07;75,63;29,47;46,16;
27-01-2019 08:00:00;27-01-2019 09:00:00;3;0,03;0,07;73,3;30,13;43,17;
27-01-2019 07:00:00;27-01-2019 08:00:00;3;0,02;0,07;73,58;30,5;43,08;
27-01-2019 06:00:00;27-01-2019 07:00:00;4;0,03;0,06;72,36;30,08;42,28;
27-01-2019 05:00:00;27-01-2019 06:00:00;2,04918032786736;0,05;0,06;72,41;29,82;42,59;
27-01-2019 04:00:00;27-01-2019 05:00:00;2,95081967213264;0,04;0,06;71,8413114754098;30,1206557377049;41,7206557377049;
27-01-2019 03:00:00;27-01-2019 04:00:00;1,00000033853576E-06;0,03;0;71,32;30,16;41,16;
27-01-2019 02:00:00;27-01-2019 03:00:00;6,06872948929595;0,03;0,11;72,3486978751592;28,5834968158828;43,7652010592764;
27-01-2019 01:00:00;27-01-2019 02:00:00;2,06191467886674;0,03;0,06;72,3486978751592;28,5834968158828;43,7652010592764;
27-01-2019 00:00:00;27-01-2019 01:00:00;3,91935504489811;0,18;0,07;73,2096341299362;28,0884012923675;45,1212328375687;
26-01-2019 23:00:00;27-01-2019 00:00:00;3,00001278362106;0,05;0,06;73,1986580280212;27,740440063391;45,4582179646302;
26-01-2019 22:00:00;26-01-2019 23:00:00;3,00077980095375;0,02;0,06;73,1181397092921;29,566843866852;43,5512958424401;
26-01-2019 21:00:00;26-01-2019 22:00:00;3,04756785810241;0,03;0,06;73,6065222668204;29,3774758779725;44,229046388848;
26-01-2019 20:00:00;26-01-2019 21:00:00;2,950819672129;0,05;0,06;74,5978582760444;29,8260285563194;44,771829719725;
26-01-2019 19:00:00;26-01-2019 20:00:00;2,95081967213264;0,04;0,06;75,1336065573771;28,5068852459016;46,6267213114754;
26-01-2019 18:00:00;26-01-2019 19:00:00;3,1428571428587;0,02;0,05;74,15;29,52;44,63;
26-01-2019 17:00:00;26-01-2019 18:00:00;2,8571428571413;0,12;0,06;76,6942857142857;29,8028571428571;46,8914285714286;
26-01-2019 16:00:00;26-01-2019 17:00:00;3,25307377049103;0,02;0,06;75,18;29,26;45,92;
26-01-2019 15:00:00;26-01-2019 16:00:00;3,79610655737633;0,1;0,06;77,8910963114754;29,7567008196721;48,1343954918033;
