StartDateTime;EndDateTime;Energy;Flow;Volume;TemperatureIn;TemperatureOut;CoolingDegree;
29-01-2019 07:00:00;29-01-2019 08:00:00;4,99510540103074;0,09;0,1;82,0230570440671;42,2163196796029;39,8067373644642;
29-01-2019 06:00:00;29-01-2019 07:00:00;4,92168641650642;0,12;0,12;82,5189127050735;40,961114873647;41,5577978314265;
29-01-2019 05:00:00;29-01-2019 06:00:00;4,9959768854751;0,15;0,11;82,8026032811767;40,9778379783519;41,8247653028248;
29-01-2019 04:00:00;29-01-2019 05:00:00;4,91551459485345;0,1;0,11;82,4546689047115;41,7345975453904;40,7200713593211;
29-01-2019 03:00:00;29-01-2019 04:00:00;4,83870973790181;0,09;0,1;82,1480469989423;41,2265484531994;40,921498545743;
29-01-2019 02:00:00;29-01-2019 03:00:00;9,3749986262992E-07;0,09;0;78,4894569672131;42,6230020491803;35,8664549180328;
29-01-2019 01:00:00;29-01-2019 02:00:00;10,081966213118;0,09;0,22;80,4313114754098;41,9180327868852;38,5132786885246;
29-01-2019 00:00:00;29-01-2019 01:00:00;4,91803278688167;0,09;0,11;80,4313114754098;41,9180327868852;38,5132786885246;
28-01-2019 23:00:00;29-01-2019 00:00:00;1,00000033853576E-06;0,09;0;78,71;41,8;36,91;
28-01-2019 22:00:00;28-01-2019 23:00:00;8,99999899999966;0,1;0,2;78,25;38,56;39,69;
28-01-2019 21:00:00;28-01-2019 22:00:00;1,00000033853576E-06;0,1;0;78,25;38,56;39,69;
28-01-2019 20:00:00;28-01-2019 21:00:00;8,99999899999966;0,09;0,23;77,39;42,98;34,41;
28-01-2019 19:00:00;28-01-2019 20:00:00;5;0,09;0,13;77,39;42,98;34,41;
28-01-2019 18:00:00;28-01-2019 19:00:00;5;0,16;0,13;79;46,2;32,8;
28-01-2019 17:00:00;28-01-2019 18:00:00;6;0,12;0,17;79,22;40,9;38,32;
28-01-2019 16:00:00;28-01-2019 17:00:00;4,08196721311833;0,1;0,1;78,43;42,33;36,1;
28-01-2019 15:00:00;28-01-2019 16:00:00;4,91803278688167;0,08;0,1;78,8304918032787;40,9655737704918;37,8649180327869;
28-01-2019 14:00:00;28-01-2019 15:00:00;3,79661016949103;0,1;0,08;82,46;38,3;44,16;
28-01-2019 13:00:00;28-01-2019 14:00:00;4,20338983050897;0,09;0,09;82,3081355932203;37,8538983050847;44,4542372881356;
28-01-2019 12:00:00;28-01-2019 13:00:00;4,48717948717967;0,07;0,09;81,85;40,52;41,33;
28-01-2019 11:00:00;28-01-2019 12:00:00;5,84615384615608;0,09;0,14;82,1467765567766;41,503956043956;40,6428205128205;
28-01-2019 10:00:00;28-01-2019 11:00:00;6,66666666666424;0,2;0,14;79,9480952380952;45,1514285714286;34,7966666666667;
28-01-2019 09:00:00;28-01-2019 10:00:00;4;0,1;0,09;81,91;38,98;42,93;
28-01-2019 08:00:00;28-01-2019 09:00:00;5;0,07;0,09;81,58;41,01;40,57;
28-01-2019 07:00:00;28-01-2019 08:00:00;5;0,08;0,11;81,93;42,75;39,18;
28-01-2019 06:00:00;28-01-2019 07:00:00;5,35557031766075;0,1;0,13;79,53;40,74;38,79;
28-01-2019 05:00:00;28-01-2019 06:00:00;7,11140635321499;0,18;0,18;80,1805922441567;43,2220547291086;36,9585375150481;
28-01-2019 04:00:00;28-01-2019 05:00:00;5,60372005048703;0,09;0,11;78,5924371272905;42,4631493112814;36,1292878160091;
28-01-2019 03:00:00;28-01-2019 04:00:00;4,2418032816131;0,09;0,11;78,0216826547769;43,2209410466583;34,8007416081186;
28-01-2019 02:00:00;28-01-2019 03:00:00;4,68750004464528;0,12;0,11;78,1226419413919;39,6774038461539;38,4452380952381;
28-01-2019 01:00:00;28-01-2019 02:00:00;9,52379195950925E-07;0,1;0;77,2622710622711;42,0384615384615;35,2238095238095;
28-01-2019 00:00:00;28-01-2019 01:00:00;9,38461438461673;0,09;0,26;74,7076923076923;43,2076923076923;31,5;
27-01-2019 23:00:00;28-01-2019 00:00:00;4,61538461538294;0,09;0,11;74,7076923076923;43,2076923076923;31,5;
27-01-2019 22:00:00;27-01-2019 23:00:00;4;0,1;0,12;76;43,3;32,7;
27-01-2019 21:00:00;27-01-2019 22:00:00;5;0,12;0,11;74,66;40,11;34,55;
27-01-2019 20:00:00;27-01-2019 21:00:00;3;0,11;0,1;75,44;40,99;34,45;
27-01-2019 19:00:00;27-01-2019 20:00:00;5;0,09;0,13;75,58;42,74;32,84;
27-01-2019 18:00:00;27-01-2019 19:00:00;5;0,13;0,12;76,32;44,03;32,29;
27-01-2019 17:00:00;27-01-2019 18:00:00;4,08466333191609;0,09;0,12;75,82;43,15;32,67;
27-01-2019 16:00:00;27-01-2019 17:00:00;5,07979991504544;0,13;0,12;76,7517040164368;43,0311921873239;33,7205118291129;
27-01-2019 15:00:00;27-01-2019 16:00:00;4,93389740877319;0,13;0,14;77,4539450026441;44,3027234267583;33,1512215758858;
27-01-2019 14:00:00;27-01-2019 15:00:00;5,90163934426528;0,13;0,19;78,1722950819672;45,2844262295082;32,887868852459;
27-01-2019 13:00:00;27-01-2019 14:00:00;4;0,09;0,1;78,31;43,15;35,16;
27-01-2019 12:00:00;27-01-2019 13:00:00;5,08196721311833;0,11;0,11;79,3;40,98;38,32;
27-01-2019 11:00:00;27-01-2019 12:00:00;4,91803278688167;0,12;0,13;79,3808196721311;41,9072131147541;37,473606557377;
