StartDateTime	Temperature	WindSpeed	WindDirection	SunHour	Condition	UltravioletIndex	MeanSeaLevelPressure	DewPoint	Humidity	PrecipitationProbability	IsHistoricalEstimated
01/01/2018 00.00	5	4	203	0	3	0	987	5	0	0	False
01/01/2018 01.00	6	4	197	0	4	0	987	5	0	0	False
01/01/2018 02.00	6	4	191	0	4	0	986	6	0	2	False
01/01/2018 03.00	6	4	184	0	12	0	986	6	0	50	False
01/01/2018 04.00	6	4	181	0	12	0	985	6	0	77	False
01/01/2018 05.00	6	4	185	0	13	0	985	6	0	79	False
01/01/2018 06.00	6	4	191	0	13	0	984	6	0	61	False
01/01/2018 07.00	6	4	197	0	13	0	984	6	0	60	False
01/01/2018 08.00	5	4	202	0	12	0	984	5	0	56	False
01/01/2018 09.00	5	4	210	0	12	0	985	4	0	38	False
01/01/2018 10.00	5	4	217	0	12	0	985	5	0	41	False
01/01/2018 11.00	6	5	231	0	12	0	986	5	0	32	False
01/01/2018 12.00	6	4	241	0	13	0	985	5	0	77	False
01/01/2018 13.00	6	5	247	0	13	0	986	4	0	84	False
01/01/2018 14.00	6	6	247	0	13	0	987	4	0	76	False
01/01/2018 15.00	6	6	241	0	12	0	987	4	0	37	False
01/01/2018 16.00	6	6	233	0	3	0	988	4	0	6	False
01/01/2018 17.00	5	5	224	0	3	0	988	4	0	6	False
01/01/2018 18.00	4	5	219	0	3	0	989	4	0	9	False
01/01/2018 19.00	4	5	219	0	3	0	989	4	0	16	False
01/01/2018 20.00	4	5	221	0	3	0	990	4	0	11	False
01/01/2018 21.00	4	5	225	0	12	0	990	4	0	36	False
01/01/2018 22.00	5	5	224	0	12	0	991	4	0	46	False
01/01/2018 23.00	5	5	233	0	3	0	991	4	0	24	False
02/01/2018 00.00	4	5	237	0	12	0	993	4	0	47	False
02/01/2018 01.00	4	5	237	0	2	0	993	3	0	24	False
02/01/2018 02.00	4	5	238	0	2	0	994	3	0	21	False
02/01/2018 03.00	4	5	240	0	2	0	994	3	0	19	False
02/01/2018 04.00	4	4	240	0	2	0	995	3	0	12	False
