"";"I";"T";"N";"E";"S";"W";"SolaR";"T:N";"T:E";"T:S";"T:W"
"A";0;0;0;0;0;0;0;0;0;0;0
"B";0;0;0;0;0;0;0;0;0;0;0
"C";0;0;0;0;0;0;0;0;0;0;0
"D";0;0;0;0;0;0;0;0;0;0;0
"E";0;0;0;0;0;0;0;0;0;0;0
"F";0;0;0;0;0;0;0;0;0;0;0
"G";0;0;0;0;0;0;0;0;0;0;0
"H";0;0;0;0;0;0;0;0;0;0;0
"I";0;0;0;0;0;0;0;0;0;0;0
"J";0;0;0;0;0;0;0;0;0;0;0
"K";0;0;0;0;0;0;0;0;0;0;0
"L";0;0;0;0;0;0;0;0;0;0;0
"M";0;0;0;0;0;0;0;0;0;0;0
"N";0;0;0;0;0;0;0;0;0;0;0
"O";0;0;0;0;0;0;0;0;0;0;0
"P";0;0;0;0;0;0;0;0;0;0;0
"Q";0;0;0;0;0;0;0;0;0;0;0
"R";34,1771703829712;-1,45796277166688;-1,36895845754465;3,50961322860218;-2,93073751907495;3,51486530962194;0,0018897514687168;0,448849019616236;-0,144216696933066;0,782638760398902;-0,762539012649041
"S";0;0;0;0;0;0;0;0;0;0;0
"T";0;0;0;0;0;0;0;0;0;0;0
"U";0;0;0;0;0;0;0;0;0;0;0
"V";0;0;0;0;0;0;0;0;0;0;0
"W";0;0;0;0;0;0;0;0;0;0;0
"X";0;0;0;0;0;0;0;0;0;0;0
"Y";0;0;0;0;0;0;0;0;0;0;0
"Z";0;0;0;0;0;0;0;0;0;0;0
"A1";0;0;0;0;0;0;0;0;0;0;0
"B1";0;0;0;0;0;0;0;0;0;0;0
"C1";0;0;0;0;0;0;0;0;0;0;0
"D1";0;0;0;0;0;0;0;0;0;0;0
"E1";0;0;0;0;0;0;0;0;0;0;0
"F1";0;0;0;0;0;0;0;0;0;0;0
"G1";0;0;0;0;0;0;0;0;0;0;0
"H1";0;0;0;0;0;0;0;0;0;0;0
"I1";0;0;0;0;0;0;0;0;0;0;0
"J1";0;0;0;0;0;0;0;0;0;0;0
"K1";0;0;0;0;0;0;0;0;0;0;0
"L1";0;0;0;0;0;0;0;0;0;0;0
"M1";0;0;0;0;0;0;0;0;0;0;0
"N1";0;0;0;0;0;0;0;0;0;0;0
"O1";0;0;0;0;0;0;0;0;0;0;0
"P1";0;0;0;0;0;0;0;0;0;0;0
"Q1";0;0;0;0;0;0;0;0;0;0;0
"R1";0;0;0;0;0;0;0;0;0;0;0
"S1";0;0;0;0;0;0;0;0;0;0;0
"T1";0;0;0;0;0;0;0;0;0;0;0
"U1";0;0;0;0;0;0;0;0;0;0;0
"V1";0;0;0;0;0;0;0;0;0;0;0
"W1";0;0;0;0;0;0;0;0;0;0;0
"X1";0;0;0;0;0;0;0;0;0;0;0
"Y1";0;0;0;0;0;0;0;0;0;0;0
"Z1";0;0;0;0;0;0;0;0;0;0;0
"A2";0;0;0;0;0;0;0;0;0;0;0
"B2";0;0;0;0;0;0;0;0;0;0;0
"C2";60,4213350872806;-2,78569704094578;0,246540640123787;0,634199834596932;0,639050778256517;1,65088652077043;-0,0016688594410308;-0,0505606816767614;0,049184672218125;0,229953108605577;-0,130020793934404
"D2";0;0;0;0;0;0;0;0;0;0;0
"E2";0;0;0;0;0;0;0;0;0;0;0
"F2";0;0;0;0;0;0;0;0;0;0;0
"G2";0;0;0;0;0;0;0;0;0;0;0
"H2";0;0;0;0;0;0;0;0;0;0;0
"I2";0;0;0;0;0;0;0;0;0;0;0
"J2";0;0;0;0;0;0;0;0;0;0;0
"K2";0;0;0;0;0;0;0;0;0;0;0
"L2";0;0;0;0;0;0;0;0;0;0;0
"M2";0;0;0;0;0;0;0;0;0;0;0
"N2";0;0;0;0;0;0;0;0;0;0;0
"O2";0;0;0;0;0;0;0;0;0;0;0
"P2";0;0;0;0;0;0;0;0;0;0;0
"Q2";0;0;0;0;0;0;0;0;0;0;0
"R2";0;0;0;0;0;0;0;0;0;0;0
