"";"I";"T";"N";"E";"S";"W";"SolaR";"T:N";"T:E";"T:S";"T:W"
"A";0;0;0;0;0;0;0;0;0;0;0
"B";0;0;0;0;0;0;0;0;0;0;0
"C";0;0;0;0;0;0;0;0;0;0;0
"D";0;0;0;0;0;0;0;0;0;0;0
"E";0;0;0;0;0;0;0;0;0;0;0
"F";0;0;0;0;0;0;0;0;0;0;0
"G";0;0;0;0;0;0;0;0;0;0;0
"H";0;0;0;0;0;0;0;0;0;0;0
"I";0;0;0;0;0;0;0;0;0;0;0
"J";0;0;0;0;0;0;0;0;0;0;0
"K";0;0;0;0;0;0;0;0;0;0;0
"L";0;0;0;0;0;0;0;0;0;0;0
"M";0;0;0;0;0;0;0;0;0;0;0
"N";0;0;0;0;0;0;0;0;0;0;0
"O";0;0;0;0;0;0;0;0;0;0;0
"P";0;0;0;0;0;0;0;0;0;0;0
"Q";0;0;0;0;0;0;0;0;0;0;0
"R";1,34834447414774e-28;0,00367696176405126;0,274237546267026;3,88205965742828e-06;0,00669688095420757;0,0018439234894483;0,0682180178554824;0,151125784199072;0,351295052235165;0,00046247969793472;1,33339994548087e-05
"S";0;0;0;0;0;0;0;0;0;0;0
"T";0;0;0;0;0;0;0;0;0;0;0
"U";0;0;0;0;0;0;0;0;0;0;0
"V";0;0;0;0;0;0;0;0;0;0;0
"W";0;0;0;0;0;0;0;0;0;0;0
"X";0;0;0;0;0;0;0;0;0;0;0
"Y";0;0;0;0;0;0;0;0;0;0;0
"Z";0;0;0;0;0;0;0;0;0;0;0
"A1";0;0;0;0;0;0;0;0;0;0;0
"B1";0;0;0;0;0;0;0;0;0;0;0
"C1";0;0;0;0;0;0;0;0;0;0;0
"D1";0;0;0;0;0;0;0;0;0;0;0
"E1";0;0;0;0;0;0;0;0;0;0;0
"F1";0;0;0;0;0;0;0;0;0;0;0
"G1";0;0;0;0;0;0;0;0;0;0;0
"H1";0;0;0;0;0;0;0;0;0;0;0
"I1";0;0;0;0;0;0;0;0;0;0;0
"J1";0;0;0;0;0;0;0;0;0;0;0
"K1";0;0;0;0;0;0;0;0;0;0;0
"L1";0;0;0;0;0;0;0;0;0;0;0
"M1";0;0;0;0;0;0;0;0;0;0;0
"N1";0;0;0;0;0;0;0;0;0;0;0
"O1";0;0;0;0;0;0;0;0;0;0;0
"P1";0;0;0;0;0;0;0;0;0;0;0
"Q1";0;0;0;0;0;0;0;0;0;0;0
"R1";0;0;0;0;0;0;0;0;0;0;0
"S1";0;0;0;0;0;0;0;0;0;0;0
"T1";0;0;0;0;0;0;0;0;0;0;0
"U1";0;0;0;0;0;0;0;0;0;0;0
"V1";0;0;0;0;0;0;0;0;0;0;0
"W1";0;0;0;0;0;0;0;0;0;0;0
"X1";0;0;0;0;0;0;0;0;0;0;0
"Y1";0;0;0;0;0;0;0;0;0;0;0
"Z1";0;0;0;0;0;0;0;0;0;0;0
"A2";0;0;0;0;0;0;0;0;0;0;0
"B2";0;0;0;0;0;0;0;0;0;0;0
"C2";6,66536374211594e-150;5,80648100714892e-40;0,567863070348773;0,0139108803577612;0,0850988086784494;2,64668242415988e-05;4,71975309184626e-06;0,638639946207676;0,356904167853275;0,00276617109971627;0,0288214880409991
"D2";0;0;0;0;0;0;0;0;0;0;0
"E2";0;0;0;0;0;0;0;0;0;0;0
"F2";0;0;0;0;0;0;0;0;0;0;0
"G2";0;0;0;0;0;0;0;0;0;0;0
"H2";0;0;0;0;0;0;0;0;0;0;0
"I2";0;0;0;0;0;0;0;0;0;0;0
"J2";0;0;0;0;0;0;0;0;0;0;0
"K2";0;0;0;0;0;0;0;0;0;0;0
"L2";0;0;0;0;0;0;0;0;0;0;0
"M2";0;0;0;0;0;0;0;0;0;0;0
"N2";0;0;0;0;0;0;0;0;0;0;0
"O2";0;0;0;0;0;0;0;0;0;0;0
"P2";0;0;0;0;0;0;0;0;0;0;0
"Q2";0;0;0;0;0;0;0;0;0;0;0
"R2";0;0;0;0;0;0;0;0;0;0;0
